"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Laundry Express Juan Jakarta",*,"RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota","RT.7/RW.2, Kb. Klp.","Kecamatan Gambir","Layanan Binatu","Asia/Jakarta",*,"0822-3333-8217","0822-3333-8217, +62 822-3333-8217","YES",80,4.5,"https://search.google.com/local/reviews?placeid=ChIJm2RMLdz1aS4Rf7Rt1UN9DFY&q=la","https://www.google.com/maps?cid=6200468517279347839",-6.1653926,106.8216298,"https://g.co/kgs/gBzEL8","g.co","Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ","https://lh5.googleusercontent.com/p/AF1QipO2yznVaQt5s4d5SDHimMd5JBVzJ4UXcafeH1EI",*,"0x2e69f5dc2d4c649b:0x560c7d43d56db47f","ChIJm2RMLdz1aS4Rf7Rt1UN9DFY"
"Aap laundry antar jemput",*,"Jl. Batu III No.11, RT.8/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Dae","Jl. Batu III No.11","RT.8/RW.1, Gambir","Layanan Binatu","Asia/Jakarta",*,"0852-1690-3864","0852-1690-3864, +62 852-1690-3864","YES",271,5,"https://search.google.com/local/reviews?placeid=ChIJRfYo0Ir1aS4RqGLunzNX9Gs&q=la","https://www.google.com/maps?cid=7778938335613837992",-6.1791206999999995,106.83598699999999,"https://sites.google.com/view/aaplaundryantarjemput/halaman-muka","sites.google.com","Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipOnjizzOCZrHhAFSZqyBPq0WBMJ3vEK7sbBtr8p",*,"0x2e69f58ad028f645:0x6bf457339fee62a8","ChIJRfYo0Ir1aS4RqGLunzNX9Gs"
"Pepe Laundry 24/7",*,"Jl. Kebon Jahe Kober 5 No.31, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat,","Jl. Kebon Jahe Kober 5 No.31","Petojo Sel.","Layanan Binatu","Asia/Jakarta",*,"0812-1247-2121","0812-1247-2121, +62 812-1247-2121","YES",37,4.3,"https://search.google.com/local/reviews?placeid=ChIJ8xu4o9X1aS4RNpBTFTGJ3WE&q=la","https://www.google.com/maps?cid=7051943435436265526",-6.1736789,106.81957059999999,"https://api.whatsapp.com/send/?phone=6281212472121&text&type=phone_number&app_ab","api.whatsapp.com","Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ","https://lh5.googleusercontent.com/p/AF1QipOwbMPU7wf8vE4z03I7K4-g3e7RMkcWHfndnds8",*,"0x2e69f5d5a3b81bf3:0x61dd893115539036","ChIJ8xu4o9X1aS4RNpBTFTGJ3WE"
"5asec",*,"Jl. Tanah Abang II No.79 1, RT.1/RW.4, Cideng, Kecamatan Gambir, Kota Jakarta Pu","Jl. Tanah Abang II No.79 1","RT.1/RW.4, Cideng","Binatu, Jasa Pembersih Karpet, Binatu Cucian Kering","Asia/Jakarta",*,"(021) 34831254","(021) 34831254, +62 21 34831254","YES",116,4.2,"https://search.google.com/local/reviews?placeid=ChIJ-WhPbX72aS4RkfgxpZOYK6c&q=la","https://www.google.com/maps?cid=12045889388231653521",-6.1755593,106.81288669999999,"http://www.5asecindonesia.com/","5asecindonesia.com","Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00","https://lh5.googleusercontent.com/p/AF1QipMncbKHuJoR5eSR5yAxzdi67g1-i5Nb3hUo6AbD",*,"0x2e69f67e6d4f68f9:0xa72b9893a531f891","ChIJ-WhPbX72aS4RkfgxpZOYK6c"
"All Washed Laundry Express",*,"Jl. Petojo Melintang No.13A, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, ","Jl. Petojo Melintang No.13A","Petojo Sel.","Binatu","Asia/Jakarta",*,"0851-7542-1708","0851-7542-1708, +62 851-7542-1708","YES",23,4.8,"https://search.google.com/local/reviews?placeid=ChIJbxD02in3aS4RE2LIHC-5v7Y&q=la","https://www.google.com/maps?cid=13168447447452115475",-6.1714271,106.8168007,"https://instagram.com/allwashed.id?igshid=OGQ5ZDc2ODk2ZA==","instagram.com","Minggu: [09.00-18.00], Senin: [09.00-17.30], Selasa: [09.00-18.00], Rabu: [09.00","https://lh5.googleusercontent.com/p/AF1QipM4DVlUBGDpjoKBYa9rRHuGXq9qU1x-V1rayU63",*,"0x2e69f729daf4106f:0xb6bfb92f1cc86213","ChIJbxD02in3aS4RE2LIHC-5v7Y"
"ISTANBUL LAUNDRY (Laundry Koin dan Kiloan)",*,"Belakang SPBU (Kontrakan pak OYO, Jl. Abdul Muis No.68, Petojo Sel., Kecamatan G","Belakang SPBU (Kontrakan pak OYO","Jl. Abdul Muis No.68","Binatu Cucian Kering","Asia/Jakarta",*,"0851-7328-5040","0851-7328-5040, +62 851-7328-5040","YES",14,5,"https://search.google.com/local/reviews?placeid=ChIJ4UL9mqz3aS4RY6EThZBfRwo&q=la","https://www.google.com/maps?cid=740665738038321507",-6.1789403,106.81695909999999,,,"Minggu: [06.00-22.00], Senin: [06.00-22.00], Selasa: [06.00-22.00], Rabu: [06.00","https://lh5.googleusercontent.com/p/AF1QipMWU7bfNHvnthObglokcyoP6QMXWKs0F0PXe5eR",7.406657380383215E+17,"0x2e69f7ac9afd42e1:0xa475f908513a163","ChIJ4UL9mqz3aS4RY6EThZBfRwo"
"Clique LAUNDRY Kiloan",*,"Jl. Petojo Binatu IV No.2 4, RT.4/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jak","Jl. Petojo Binatu IV No.2 4","RT.4/RW.7, Petojo Utara","Layanan Binatu","Asia/Jakarta",*,,,"NO",19,4.9,"https://search.google.com/local/reviews?placeid=ChIJE6IMEW_3aS4RDFGWOPPgk4o&q=la","https://www.google.com/maps?cid=9985572134041571596",-6.1678251,106.815772,,,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipOXnMeaTfF3RdLRjca_YhP0V9_2MtdPWfC9tVLk",*,"0x2e69f76f110ca213:0x8a93e0f33896510c","ChIJE6IMEW_3aS4RDFGWOPPgk4o"
"Mahkota laundry",*,"Kementerian Kelautan Dan Perikanan, Gambir, Kecamatan Gambir, Kota Jakarta Pusat","Kementerian Kelautan Dan Perikanan","Gambir","Layanan Binatu","Asia/Jakarta",*,,,"YES",17,4.9,"https://search.google.com/local/reviews?placeid=ChIJa_xAZgD1aS4RoGNFkcWbCUc&q=la","https://www.google.com/maps?cid=5118793724331385760",-6.1788482,106.8353391,"https://mahkotalaundry.com/","mahkotalaundry.com","Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipNseXYhf_O78HFk3ctzKieiwX3RtSWlmm6wj74w",*,"0x2e69f5006640fc6b:0x47099bc5914563a0","ChIJa_xAZgD1aS4RoGNFkcWbCUc"
"Hj. Dara Laundry Kiloan",*,"Gg. Kaji II No.12, RT.12/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusa","Gg. Kaji II No.12","RT.12/RW.7, North Petojo","Binatu","Asia/Jakarta",*,"0812-9929-436","0812-9929-436, +62 812-9929-436","YES",9,4.6,"https://search.google.com/local/reviews?placeid=ChIJBa-KMjj3aS4RSXkUYxYRpX4&q=la","https://www.google.com/maps?cid=9125719007785417033",-6.1690261,106.8150108,,,"Minggu: [07.00-18.00], Senin: [07.00-18.00], Selasa: [07.00-18.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipP0fLefhm0SCKgEDohIQ-3CCQJGI5zY9DUL7Rl7",*,"0x2e69f738328aaf05:0x7ea5111663147949","ChIJBa-KMjj3aS4RSXkUYxYRpX4"
"Urban Coin Laundry",*,"Jl. Kuantan No.14, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus I","Jl. Kuantan No.14","Cideng","Layanan Binatu","Asia/Jakarta",*,"0878-7736-7813","0878-7736-7813, +62 878-7736-7813","YES",13,4.8,"https://search.google.com/local/reviews?placeid=ChIJJVfLlVL3aS4RBB-EUoYx1I0&q=la","https://www.google.com/maps?cid=10219847907390267140",-6.175987,106.808624,,,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00","https://lh5.googleusercontent.com/p/AF1QipNK3lUWz0NNxEvuHPnWlOb7HBvIrG_0828sz7jd",*,"0x2e69f75295cb5725:0x8dd4318652841f04","ChIJJVfLlVL3aS4RBB-EUoYx1I0"
"Bubbleklin Laundry Percetakan Negara IIA",*,"Jl. Percetakan Negara IIA No.13, RT.8/RW.4, Johar Baru, Kec. Johar Baru, Kota Ja","Jl. Percetakan Negara IIA No.13","RT.8/RW.4, Johar Baru","Layanan Binatu, Binatu","Asia/Jakarta",*,"0896-7733-6856","0896-7733-6856, +62 896-7733-6856","YES",140,4.8,"https://search.google.com/local/reviews?placeid=ChIJSeBtva71aS4RZi3BcEQLMwY&q=la","https://www.google.com/maps?cid=446713176617200998",-6.1853304,106.8575171,,,"Minggu: [08.00-20.30], Senin: [06.30-20.30], Selasa: [06.30-20.30], Rabu: [06.30","https://lh5.googleusercontent.com/p/AF1QipPasGWGVz_zLuHkOGIXJywfM_ligjVmfXJJrw6-",4.46713176617201E+17,"0x2e69f5aebd6de049:0x6330b4470c12d66","ChIJSeBtva71aS4RZi3BcEQLMwY"
"Zain Laundry Kampung Rawa - Johar baru",*,"2, Jl. Rawa Sawah 1 No.3, RT.2/RW.6, Galur, Kec. Johar Baru, Kota Jakarta Pusat,","2","Jl. Rawa Sawah 1 No.3","Layanan Binatu","Asia/Jakarta",*,"0881-0257-29951","0881-0257-29951, +62 881-0257-29951","YES",63,4.8,"https://search.google.com/local/reviews?placeid=ChIJRyRzacf1aS4R20v492AjgBM&q=la","https://www.google.com/maps?cid=1405161983123672027",-6.1774597,106.8522843,"https://sites.google.com/view/zainlaundry/halaman-muka","sites.google.com","Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMkiQNnqjEoDkcNZrUHSsujuwKGnwU0TsZ594mO",*,"0x2e69f5c769732447:0x13802360f7f84bdb","ChIJRyRzacf1aS4R20v492AjgBM"
"Bubbleklin Laundry Mardani",*,"Jl. Mardani Raya No.11a, RT.2/RW.5, Johar Baru, Kec. Johar Baru, Kota Jakarta Pu","Jl. Mardani Raya No.11a","RT.2/RW.5, Johar Baru","Layanan Binatu, Binatu Cucian Kering, Binatu","Asia/Jakarta",*,"0896-7733-6855","0896-7733-6855, +62 896-7733-6855","YES",93,4.5,"https://search.google.com/local/reviews?placeid=ChIJafb9Blf0aS4RxUbyIlmjVMA&q=la","https://www.google.com/maps?cid=13858881556559578821",-6.1831938,106.8619871,,,"Minggu: [08.00-21.00], Senin: [06.30-21.00], Selasa: [06.30-21.00], Rabu: [06.30","https://lh5.googleusercontent.com/p/AF1QipPswN63IlS2lrgSCzyiECvJIv2DlrIkh-qLnWbs",*,"0x2e69f45706fdf669:0xc054a35922f246c5","ChIJafb9Blf0aS4RxUbyIlmjVMA"
"Klin 99 Laundry",*,"Jl. Mardani Raya No.13-D/76, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Da","Jl. Mardani Raya No.13-D/76","Johar Baru","Layanan Binatu","Asia/Jakarta",*,"0877-8400-6888","0877-8400-6888, +62 877-8400-6888","YES",29,4.7,"https://search.google.com/local/reviews?placeid=ChIJtzsP8CL1aS4RGTn8cqaGJtk&q=la","https://www.google.com/maps?cid=15647342004797192473",-6.186973399999999,106.86330489999999,"https://linktr.ee/klin99laundry","linktr.ee","Minggu: [08.00-16.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMdvf_WZ2o18fWLmnzt4imwPsMi8z7Qa-kKq_rc",*,"0x2e69f522f00f3bb7:0xd92686a672fc3919","ChIJtzsP8CL1aS4RGTn8cqaGJtk"
"Tukang Laundry",*,"Jl. Kp. Rw. Sawah No.1, RT.14/RW.2, Johar Baru, Kec. Johar Baru, Kota Jakarta Pu","Jl. Kp. Rw. Sawah No.1","RT.14/RW.2, Johar Baru","Binatu","Asia/Jakarta",*,"0877-0001-1077","0877-0001-1077, +62 877-0001-1077","NO",14,5,"https://search.google.com/local/reviews?placeid=ChIJ_0bsoA71aS4RFGruUQUecSo&q=la","https://www.google.com/maps?cid=3058258630159526420",-6.1801312,106.85396349999999,,,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPVD67ZgZvkjHiC-ZxhH3JA3C-R7NPT5OgKCBrW",*,"0x2e69f50ea0ec46ff:0x2a711e0551ee6a14","ChIJ_0bsoA71aS4RFGruUQUecSo"
"pandawa laundry",*,"Jl. Johar Baru Utara I No.26 8, RT.11/RW.3, Johar Baru, Kec. Johar Baru, Kota Ja","Jl. Johar Baru Utara I No.26 8","RT.11/RW.3, Johar Baru","Binatu","Asia/Jakarta",*,"0877-7566-4530","0877-7566-4530, +62 877-7566-4530","NO",17,4.7,"https://search.google.com/local/reviews?placeid=ChIJxVs7OVH0aS4RSUNMa0RK-e0&q=la","https://www.google.com/maps?cid=17147818713908265801",-6.1820159,106.85813689999999,,,"Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.00-21.00], Rabu: [06.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I6-Qj5eKLNpz0OTS-",*,"0x2e69f451393b5bc5:0xedf94a446b4c4349","ChIJxVs7OVH0aS4RSUNMa0RK-e0"
"Kim's Laundry",*,"Jl. Kramat Jaya Baru IV No.7 15, RT.15/RW.1, Johar Baru, Kec. Johar Baru, Kota J","Jl. Kramat Jaya Baru IV No.7 15","RT.15/RW.1, Johar Baru","Layanan Binatu","Asia/Jakarta",*,"0812-1912-5757","0812-1912-5757, +62 812-1912-5757","YES",13,5,"https://search.google.com/local/reviews?placeid=ChIJUcazCIn1aS4RVx5_0WGPJOE&q=la","https://www.google.com/maps?cid=16223249407984737879",-6.1849786,106.85423759999999,,,"Minggu: [08.00-21.00], Senin: [07.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipOilXALFnjeUVvH-fN_YDTGJs-Lbc40EPEdVPts",*,"0x2e69f58908b3c651:0xe1248f61d17f1e57","ChIJUcazCIn1aS4RVx5_0WGPJOE"
"Annisa Laundry",*,"Jl. Mardani Raya No.104B 1, RT.1/RW.9, Johar Baru, Kec. Johar Baru, Kota Jakarta","Jl. Mardani Raya No.104B 1","RT.1/RW.9, Johar Baru","Layanan Binatu","Asia/Jakarta",*,,,"NO",10,5,"https://search.google.com/local/reviews?placeid=ChIJc8-uyHT1aS4RcbBzfTFsavo&q=la","https://www.google.com/maps?cid=18044353816827244657",-6.185279899999999,106.8622462,,,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [Tutup], Rabu: [08.00-20.00","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Pd3p0DtupBKssudF",*,"0x2e69f574c8aecf73:0xfa6a6c317d73b071","ChIJc8-uyHT1aS4RcbBzfTFsavo"
"Laundry Jagoan Cempaka",*,"Jl. Pangkalan Asem No.55, RT.2/RW.5, Kp. Rw., Kec. Johar Baru, Kota Jakarta Pusa","Jl. Pangkalan Asem No.55","RT.2/RW.5, Kp. Rw.","Binatu, Toko Perlengkapan Rumah","Asia/Jakarta",*,"0813-8445-4566","0813-8445-4566, +62 813-8445-4566","YES",14,5,"https://search.google.com/local/reviews?placeid=ChIJI9UU0VX0aS4RC4eQ-jsZrqw&q=la","https://www.google.com/maps?cid=12442910565868799755",-6.1789162,106.8590957,,,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipOz3IbmxBFnLwI3G53BNrEQl2RRWjvBHEbir2hs",*,"0x2e69f455d114d523:0xacae193bfa90870b","ChIJI9UU0VX0aS4RC4eQ-jsZrqw"
"ZAIN Laundry Kramat Jaya Johar",*,"Jl. Kramat Jaya Baru No.14, RT.4/RW.1, Johar Baru, Kec. Johar Baru, Kota Jakarta","Jl. Kramat Jaya Baru No.14","RT.4/RW.1, Johar Baru","Binatu Cucian Kering","Asia/Jakarta",*,,,"NO",13,4,"https://search.google.com/local/reviews?placeid=ChIJ7Rx5o-r1aS4RfFYgA8wUSwk&q=la","https://www.google.com/maps?cid=669651836052985468",-6.1851077,106.85229869999999,,,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipMVAbV95Lr1s5iOCDd5N7e6qQnaIvqWKlMd6kDZ",6.696518360529855E+17,"0x2e69f5eaa3791ced:0x94b14cc0320567c","ChIJ7Rx5o-r1aS4RfFYgA8wUSwk"
"Aqila laundry Kemayoran",*,"Jl. Kemayoran Gempol No.2A, RT.3/RW.3, Kb. Kosong, Kec. Kemayoran, Kota Jakarta ","Jl. Kemayoran Gempol No.2A","RT.3/RW.3, Kb. Kosong","Layanan Binatu","Asia/Jakarta",*,"0878-7397-2777","0878-7397-2777, +62 878-7397-2777","NO",26,5,"https://search.google.com/local/reviews?placeid=ChIJXfFuUF31aS4RyRBJPVlYwUs&q=la","https://www.google.com/maps?cid=5458741363653284041",-6.1621203,106.8509232,,,"Minggu: [Tutup], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00-21.00","https://lh5.googleusercontent.com/p/AF1QipOptAGT7gcbLjW-6nCPyRDC2N6N0EHrM3AbDVYy",*,"0x2e69f55d506ef15d:0x4bc158593d4910c9","ChIJXfFuUF31aS4RyRBJPVlYwUs"
