"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Sorcha Laundry Cibadak (Laundry Antar Jemput Bandung)",*,"Gg. Ibu Aisah No.9a, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241","Gg. Ibu Aisah No.9a","Cibadak","Binatu","Asia/Jakarta",*,"0811-1111-2731","0811-1111-2731, +62 811-1111-2731","YES",275,5,"https://search.google.com/local/reviews?placeid=ChIJ_XkOzCDnaC4REI4WilwNTrI&q=la","https://www.google.com/maps?cid=12848221478039490064",-6.921233699999999,107.5922435,"http://sorchalaundry.com/","sorchalaundry.com","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipM0MSqqXoRjOcy4R6o31peG6wXLbV_YdoOvJAaQ",*,"0x2e68e720cc0e79fd:0xb24e0d5c8a168e10","ChIJ_XkOzCDnaC4REI4WilwNTrI"
"Laundry88",*,"Jl. Astana Anyar No.308, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat ","Jl. Astana Anyar No.308","Nyengseret","Binatu","Asia/Jakarta",*,"0812-2415-8658","0812-2415-8658, +62 812-2415-8658","YES",58,4.6,"https://search.google.com/local/reviews?placeid=ChIJK_18SpnoaC4RFluyIedFbj0&q=la","https://www.google.com/maps?cid=4426552342756875030",-6.933821,107.602334,,,"Sabtu: [09.00-21.00], Minggu: [09.00-21.00], Senin: [09.00-21.00], Selasa: [09.0","https://lh5.googleusercontent.com/p/AF1QipPTDl3dnAC7Qqg_3_qmK9dlSRdtcMSXg5oAcc-t",*,"0x2e68e8994a7cfd2b:0x3d6e45e721b25b16","ChIJK_18SpnoaC4RFluyIedFbj0"
"Dokter Clean Cibadak | Laundry Express Bandung | Laundry Antar Jemput",*,"Jl. Cibadak No.213-227, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 4024","Jl. Cibadak No.213-227","Cibadak","Layanan Binatu","Asia/Jakarta",*,"0812-8884-9393","0812-8884-9393, +62 812-8884-9393","YES",171,4.9,"https://search.google.com/local/reviews?placeid=ChIJKYjXHeXnaC4RdPQtlFmvggk&q=la","https://www.google.com/maps?cid=685302892586726516",-6.921087399999999,107.5955639,,,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipP_0oiFGYXUtJLebUwZ1DWvBgk2qMSHDT-7bac=",6.853028925867265E+17,"0x2e68e7e51dd78829:0x982af59942df474","ChIJKYjXHeXnaC4RdPQtlFmvggk"
"Laundry 88",*,"3HCX+6F3, Gg. Hidayah, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 4024","3HCX+6F3","Gg. Hidayah","Layanan Binatu","Asia/Jakarta",*,,,"NO",4,5,"https://search.google.com/local/reviews?placeid=ChIJJ_g37p_oaC4RUaQSdRJLnzk&q=la","https://www.google.com/maps?cid=4152119924104537169",-6.92948,107.5986592,,,,,*,"0x2e68e89fee37f827:0x399f4b127512a451","ChIJJ_g37p_oaC4RUaQSdRJLnzk"
"FLO~WASH Laundry Permesin",*,"Jl. Nyengseret No.22A, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40","Jl. Nyengseret No.22A","Nyengseret","Layanan Binatu","Asia/Jakarta",*,"0815-6025-143","0815-6025-143, +62 815-6025-143","YES",40,4.6,"https://search.google.com/local/reviews?placeid=ChIJyZF2JJnoaC4RswTEdJOkyb8&q=la","https://www.google.com/maps?cid=13819757884789228723",-6.9346219,107.6013237,,,"Sabtu: [08.00-18.00], Minggu: [08.00-18.00], Senin: [08.00-18.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipNUlTrz8lW9H_puZ0ojBOH99HxerOWnRwF6NysT",*,"0x2e68e899247691c9:0xbfc9a49374c404b3","ChIJyZF2JJnoaC4RswTEdJOkyb8"
"Wash n Dry Laundromat Pagarsih",*,"Jl. Pagarsih No.67C, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241","Jl. Pagarsih No.67C","Cibadak","Binatu","Asia/Jakarta",*,"0813-1265-5278","0813-1265-5278, +62 813-1265-5278","YES",39,5,"https://search.google.com/local/reviews?placeid=ChIJ-fR4sGnnaC4RrMi9UFQ6d2E&q=la","https://www.google.com/maps?cid=7023146277713856684",-6.922997,107.5950178,"https://www.washndrylaundro.com/","washndrylaundro.com","Sabtu: [07.00-20.00], Minggu: [08.00-18.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipMvDtfujFskXUUNgsnHuFi6QjzjLPYjmDMUYgcC",*,"0x2e68e769b078f4f9:0x61773a5450bdc8ac","ChIJ-fR4sGnnaC4RrMi9UFQ6d2E"
"Pusat Laundry Nasional",*,"Jl. Pasirkoja No.12, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 4024","Jl. Pasirkoja No.12","Nyengseret","Layanan Binatu, Pemasok peralatan binatu yang dioperasikan dengan koin, Pemasok ","Asia/Jakarta",*,"0853-2056-6660","0853-2056-6660, +62 853-2056-6660","YES",99,4.7,"https://search.google.com/local/reviews?placeid=ChIJwb8zokbnaC4RRHSQ3INM7OQ&q=la","https://www.google.com/maps?cid=16495643664376165444",-6.927031599999999,107.60309149999999,,,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipNaoGTZFgnoA4-5bDGHqRsszvVZp384J6H9Fn5f",*,"0x2e68e746a233bfc1:0xe4ec4c83dc907444","ChIJwb8zokbnaC4RRHSQ3INM7OQ"
"Netto laundry",*,"Jl. Nyengseret No.11F, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Bar","Jl. Nyengseret No.11F","Pelindung Hewan","Binatu","Asia/Jakarta",*,"0878-9948-7755","0878-9948-7755, +62 878-9948-7755","YES",4,4.5,"https://search.google.com/local/reviews?placeid=ChIJ3xLszCnpaC4RK-c5xXAnuIc&q=la","https://www.google.com/maps?cid=9779609956133758763",-6.9347435,107.6016312,"https://www.instagram.com/netto.laundry.bdg/","instagram.com","Sabtu: [07.00-19.00], Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipNZtGVfSgTIVxEBQl54mOPu4rjEmPBxaQOWyLFm",*,"0x2e68e929ccec12df:0x87b82770c539e72b","ChIJ3xLszCnpaC4RK-c5xXAnuIc"
"Laundry Club Inhoftank",*,"Jalan H Jl. Kurdi Barat I No.1B, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung","Jalan H Jl. Kurdi Barat I No.1B","Pelindung Hewan","Binatu","Asia/Jakarta",*,"0851-7324-7944","0851-7324-7944, +62 851-7324-7944","YES",36,4.7,"https://search.google.com/local/reviews?placeid=ChIJT-BHFy_paC4RjBehv0QSoo0&q=la","https://www.google.com/maps?cid=10205739792057046924",-6.943937399999999,107.6039141,"https://bit.ly/customer_laundryclub_inhoftank","bit.ly","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipOY8smuCtlH6FakwIDiMOHz-BuANEi4DvafwbVs",*,"0x2e68e92f1747e04f:0x8da21244bfa1178c","ChIJT-BHFy_paC4RjBehv0QSoo0"
"Eighteen laundry (Inhoftank)",*,"Jl. Inhoftank No.45b, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Bara","Jl. Inhoftank No.45b","Pelindung Hewan","Binatu Cucian Kering","Asia/Jakarta",*,"0811-2181-811","0811-2181-811, +62 811-2181-811","YES",42,4.6,"https://search.google.com/local/reviews?placeid=ChIJg2rIvq3paC4RZGJBXNe3dzo&q=la","https://www.google.com/maps?cid=4213038112022028900",-6.9424136999999995,107.6033135,,,"Sabtu: [08.00-20.00], Minggu: [09.00-15.00], Senin: [08.00-20.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipMb8hd-8LItm1phCFtgQzXBvUzpXs6AJnZ2KW8Y",*,"0x2e68e9adbec86a83:0x3a77b7d75c416264","ChIJg2rIvq3paC4RZGJBXNe3dzo"
"Joss Laundry Antapani Bandung",*,"Jl. Purwakarta No.200, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4","Jl. Purwakarta No.200","Antapani Kidul","Layanan Binatu","Asia/Jakarta",*,"0812-8079-3497","0812-8079-3497, +62 812-8079-3497","YES",210,4.6,"https://search.google.com/local/reviews?placeid=ChIJWcFWAXfnaC4R7c88NnBeCww&q=la","https://www.google.com/maps?cid=867891189238255597",-6.9175312,107.6603482,"https://wa.me/6281280793497","wa.me","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipPmHwi3M4SzziJWEi40t3SGvLH9hgz3_fjp1_kn",8.678911892382556E+17,"0x2e68e7770156c159:0xc0b5e70363ccfed","ChIJWcFWAXfnaC4R7c88NnBeCww"
"LaundryKlin Antapani • Laundry Antar Jemput",*,"Jl. Parakan Saat No.9d, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat","Jl. Parakan Saat No.9d","Central Antapani","Layanan Binatu, Binatu","Asia/Jakarta",*,"0851-7318-3938","0851-7318-3938, +62 851-7318-3938","YES",430,5,"https://search.google.com/local/reviews?placeid=ChIJSU3QXXbpaC4RY1fnjgiui_o&q=la","https://www.google.com/maps?cid=18053714883025262435",-6.9275609,107.6669637,"https://www.laundryklinwijaya.com/","laundryklinwijaya.com","Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipNl-BTv0EybayYOSDVRwIswUIkqzv54pVKbII1x",*,"0x2e68e9765dd04d49:0xfa8bae088ee75763","ChIJSU3QXXbpaC4RY1fnjgiui_o"
"Sorcha Laundry Antapani",*,"Jl. Subang No.32, RT.04/RW.02, Antapani Tengah, Kec. Antapani, Kota Bandung, Jaw","Jl. Subang No.32","RT.04/RW.02, Antapani Tengah","Layanan Binatu","Asia/Jakarta",*,"0851-7952-0363","0851-7952-0363, +62 851-7952-0363","YES",135,4.8,"https://search.google.com/local/reviews?placeid=ChIJTeg5Hs_naC4RMclvAixqjdU&q=la","https://www.google.com/maps?cid=15388072239046838577",-6.9144147,107.65489699999999,"https://sorchalaundry.com/","sorchalaundry.com","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipOASh9jFROgh9a8Y-6cvT_PsvejXgtBkl5OVwXv",*,"0x2e68e7cf1e39e84d:0xd58d6a2c026fc931","ChIJTeg5Hs_naC4RMclvAixqjdU"
"Chingu Laundry Antapani",*,"Jl. Purwakarta No.190, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4","Jl. Purwakarta No.190","Antapani Kidul","Layanan Binatu","Asia/Jakarta",*,"0811-8885-1121","0811-8885-1121, +62 811-8885-1121","YES",197,4.9,"https://search.google.com/local/reviews?placeid=ChIJpUx8USvnaC4RScspDSEhYLI&q=la","https://www.google.com/maps?cid=12853309762353875785",-6.917503,107.6593367,"http://chingu-laundry.com/","chingu-laundry.com","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipORZgoTi7wfs045rYMSMO5_K4q1-RWVsdhFWOij",*,"0x2e68e72b517c4ca5:0xb26021210d29cb49","ChIJpUx8USvnaC4RScspDSEhYLI"
"Nuna Laundry Antapani",*,"Jl. Purwakarta No.228, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4","Jl. Purwakarta No.228","Antapani Kidul","Binatu","Asia/Jakarta",*,"0818-0908-1330","0818-0908-1330, +62 818-0908-1330","YES",34,4.9,"https://search.google.com/local/reviews?placeid=ChIJvRfLmrrnaC4RM3NPwj-4lH8&q=la","https://www.google.com/maps?cid=9193175323352462131",-6.9172566,107.6615909,,,"Sabtu: [08.00-16.00], Minggu: [09.00-15.00], Senin: [08.00-19.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipNPk_KFCmr2lGttuiJydMJmJc_dhaK3RO9uS0Ru",*,"0x2e68e7ba9acb17bd:0x7f94b83fc24f7333","ChIJvRfLmrrnaC4RM3NPwj-4lH8"
"dr.laundry Antapani - Antar Jemput",*,"Jl. Antapani Lama No.148, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat ","Jl. Antapani Lama No.148","Cicaheum","Layanan Binatu","Asia/Jakarta",*,,,"NO",84,5,"https://search.google.com/local/reviews?placeid=ChIJE5ACtt_naC4RkaI1wlmdCbM&q=la","https://www.google.com/maps?cid=12901015616415441553",-6.903974799999999,107.6573344,"http://drlaundry.id/","drlaundry.id","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipNi6m2D36-MzENVtZ1s4p1VVvL_UD_560UlXRlH",*,"0x2e68e7dfb6029013:0xb3099d59c235a291","ChIJE5ACtt_naC4RkaI1wlmdCbM"
"Briwash Laundry Express - Antapani",*,"Jl. Sukanagara No.95, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40","Jl. Sukanagara No.95","Antapani Kidul","Binatu","Asia/Jakarta",*,"0851-7971-6134","0851-7971-6134, +62 851-7971-6134","YES",48,4.9,"https://search.google.com/local/reviews?placeid=ChIJz44NHwDnaC4RUdiywtSXPZk&q=la","https://www.google.com/maps?cid=11042148801437685841",-6.9220011999999995,107.6616028,"https://briwash.id/","briwash.id","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipNdttRf1WQOAmcbW1TzqWUgZUfzEWuoPRWU3gmp",*,"0x2e68e7001f0d8ecf:0x993d97d4c2b2d851","ChIJz44NHwDnaC4RUdiywtSXPZk"
"Sachi Laundry Bandung",*,"Jl. Cibatu Raya No.42B, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat","Jl. Cibatu Raya No.42B","Antapani Tengah","Binatu","Asia/Jakarta",*,"0895-3445-02000","0895-3445-02000, +62 895-3445-02000","YES",34,5,"https://search.google.com/local/reviews?placeid=ChIJC6gglR7naC4RE97bxJUpRb0&q=la","https://www.google.com/maps?cid=13638352769791024659",-6.9164946,107.66444779999999,,,"Sabtu: [08.00-19.00], Minggu: [08.00-19.00], Senin: [08.00-19.00], Selasa: [08.0","https://lh5.googleusercontent.com/p/AF1QipOd_MJYM2XhX5M2AKRFu05bwKUKO8ORgTTHXYqu",*,"0x2e68e71e9520a80b:0xbd452995c4dbde13","ChIJC6gglR7naC4RE97bxJUpRb0"
"Art laundry, laundry hotel/partai",*,"Jl. Randusari 6 No.28, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4","Jl. Randusari 6 No.28","Antapani Kidul","Binatu","Asia/Jakarta",*,"0813-2000-5181","0813-2000-5181, +62 813-2000-5181","YES",13,5,"https://search.google.com/local/reviews?placeid=ChIJUSFpHMLpaC4RUQbQK6atDR8&q=la","https://www.google.com/maps?cid=2237635519084234321",-6.9286585,107.6600004,"http://www.instagram.com/laundry.art28","instagram.com","Sabtu: [Buka 24 jam], Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka","https://lh5.googleusercontent.com/p/AF1QipP9Gc2rSg6KoT7TVbW3GdMr93I3l7ogrHCVUOjc",*,"0x2e68e9c21c692151:0x1f0dada62bd00651","ChIJUSFpHMLpaC4RUQbQK6atDR8"
"Masagi Laundry",*,"Jl. Terusan Jakarta No.334, Sukamiskin, Kec. Antapani, Kota Bandung, Jawa Barat ","Jl. Terusan Jakarta No.334","Sukamiskin","Binatu","Asia/Jakarta",*,"0821-2054-1635","0821-2054-1635, +62 821-2054-1635","YES",10,4.9,"https://search.google.com/local/reviews?placeid=ChIJK8WgEB3naC4RmhtDaUg2Z0U&q=la","https://www.google.com/maps?cid=5001025595849776026",-6.916793299999999,107.66853359999999,"http://www.masagilaundry.com/","masagilaundry.com","Sabtu: [07.30-17.30], Minggu: [Tutup], Senin: [07.30-17.30], Selasa: [07.30-17.3","https://lh5.googleusercontent.com/p/AF1QipNWzwe91xYou8DEXf4MQGu9Oc8RZm2DLHXsKeiJ",*,"0x2e68e71d10a0c52b:0x4567364869431b9a","ChIJK8WgEB3naC4RmhtDaUg2Z0U"
"Sorcha Laundry Arcamanik (Laundry Antar Jemput Bandung)",*,"Ruko Radenia, Jl. Cisaranten Kulon No.3, RT.04/RW.05, Cisaranten Kulon, Kec. Arc","Ruko Radenia","Jl. Cisaranten Kulon No.3","Binatu","Asia/Jakarta",*,"0811-1111-2731","0811-1111-2731, +62 811-1111-2731","YES",244,4.8,"https://search.google.com/local/reviews?placeid=ChIJJbblApfdaC4RUjkExvMbshs&q=la","https://www.google.com/maps?cid=1995688318691719506",-6.9252015,107.6844898,"http://sorchalaundry.com/","sorchalaundry.com","Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0","https://lh5.googleusercontent.com/p/AF1QipMf3zp3Q6t_yxSAZEMHObkvTPpQEHNiak7HXuwz",*,"0x2e68dd9702e5b625:0x1bb21bf3c6043952","ChIJJbblApfdaC4RUjkExvMbshs"
"Neng Laundry Express Arcamanik Bandung - Laundry Terbaik (Express & Cuci Satuan)",*,"Jl. Arcamanik Endah No.87 Blok C, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa","Jl. Arcamanik Endah No.87 Blok C","Sukamiskin","Binatu","Asia/Jakarta",*,"0813-1250-4752","0813-1250-4752, +62 813-1250-4752","YES",34,4.5,"https://search.google.com/local/reviews?placeid=ChIJ3zGZStrdaC4RPZlVP8Vk9u0&q=la","https://www.google.com/maps?cid=17147003429593651517",-6.918708199999999,107.6747243,"https://nenglaundry.com/","nenglaundry.com","Sabtu: [06.00-21.00], Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.0","https://lh5.googleusercontent.com/p/AF1QipPlVVUNbALinG-cn_emuZd-BFDfCILRt67zlFk=",*,"0x2e68ddda4a9931df:0xedf664c53f55993d","ChIJ3zGZStrdaC4RPZlVP8Vk9u0"
"Brother Laundry Bandung",*,"Jl. Cisaranten Kulon No.32, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa","Jl. Cisaranten Kulon No.32","Cisaranten Kulon","Layanan Binatu","Asia/Jakarta",*,"0821-1654-0060","0821-1654-0060, +62 821-1654-0060","YES",16,5,"https://search.google.com/local/reviews?placeid=ChIJPdW7dzbdaC4R21TFVmazVAU&q=la","https://www.google.com/maps?cid=384129120357143771",-6.9169642,107.6845658,,,"Sabtu: [07.30-20.30], Minggu: [07.30-20.30], Senin: [07.00-20.30], Selasa: [07.3","https://lh5.googleusercontent.com/p/AF1QipPXJLkRsoS_8GYKgwDbsYaUU0-E0o_YsXwSLSwB",3.8412912035714374E+17,"0x2e68dd3677bbd53d:0x554b36656c554db","ChIJPdW7dzbdaC4R21TFVmazVAU"
