"Name","Description","Fulladdress","Street","Municipality","Categories","Time Zone","Amenities","Phone","Phones","Claimed","Review Count","Average Rating","Review URL","Google Maps URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id"
"Noda Laundry Medan (Wet Cleaning & Dry Cleaning)",*,"Jl. Padang Golf No.10, Suka Damai, Kec. Medan Polonia, Kota Medan, Sumatera Utar","Jl. Padang Golf No.10","Suka Damai","Binatu, Binatu Cucian Kering, Layanan Binatu","Asia/Jakarta",*,"0857-6076-2519","0857-6076-2519, +62 857-6076-2519","YES",212,4.8,"https://search.google.com/local/reviews?placeid=ChIJZab2DYsxMTARRik1nh-KByg&q=la","https://www.google.com/maps?cid=2884425954756995398",3.5566107999999996,98.6812547,*,*,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipOpuqhaH2hjsiHZrLMnt5oHw6rspTLWKLDUEQxH",*,"0x3031318b0df6a665:0x28078a1f9e352946","ChIJZab2DYsxMTARRik1nh-KByg"
"Laundry Medan",*,"Jl. Pinang Baris Gg. Langgar No.26, Sunggal, Kec. Medan Sunggal, Kota Medan, Sum","Jl. Pinang Baris Gg. Langgar No.26","Sunggal","Binatu Cucian Kering, Layanan Binatu","Asia/Jakarta",*,"0853-6230-0075","0853-6230-0075, +62 853-6230-0075","YES",13,5,"https://search.google.com/local/reviews?placeid=ChIJHRs8VfouMTARjb2D46PS_Tw&q=la","https://www.google.com/maps?cid=4394900412722036109",3.5759361999999997,98.61007169999999,*,*,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ","https://lh5.googleusercontent.com/p/AF1QipMTm1OXBG-3Q6vxVzD-IfEUp-V5BfHeHJ4Npgkw",*,"0x30312efa553c1b1d:0x3cfdd2a3e383bd8d","ChIJHRs8VfouMTARjb2D46PS_Tw"
"Laundry Medan",*,"Jl. Brig Jend. Zein Hamid No.28, Kedai Durian, Kec. Medan Johor, Kota Medan, Sum","Jl. Brig Jend. Zein Hamid No.28","Kedai Durian","Binatu Cucian Kering","Asia/Jakarta",*,"0853-6230-0075","0853-6230-0075, +62 853-6230-0075","NO",64,5,"https://search.google.com/local/reviews?placeid=ChIJr7PnYgExMTARsxponWu--jc&q=la","https://www.google.com/maps?cid=4033745785675324083",3.5195950999999996,98.68083419999999,*,*,"Minggu: [06.00-22.00], Senin: [06.00-22.00], Selasa: [06.00-22.00], Rabu: [06.00","https://lh5.googleusercontent.com/p/AF1QipPqc0orUIBETCgA8JtT6fVm1QmBYKp8wpTLlEB1",*,"0x3031310162e7b3af:0x37fabe6b9d681ab3","ChIJr7PnYgExMTARsxponWu--jc"
"Laundry AMANAH VIP 1 jam an siap, free antar jemput, Medan",*,"Jl. Durung No.171, Sidorejo Hilir, Kec. Medan Tembung, Kota Medan, Sumatera Utar","Jl. Durung No.171","Sidorejo Hilir","Layanan Binatu","Asia/Jakarta",*,"0812-8759-854","0812-8759-854, +62 812-8759-854","YES",82,4.8,"https://search.google.com/local/reviews?placeid=ChIJ7Xl0elsxMTAR4zSa283mYd4&q=la","https://www.google.com/maps?cid=16024342720987935971",3.6093949,98.7032771,*,*,"Minggu: [09.00-22.00], Senin: [09.00-20.00], Selasa: [09.00-17.00], Rabu: [09.00","https://lh5.googleusercontent.com/p/AF1QipOumFa_fdHJ7kVcVjoW8HQnfyduX6odrZlYijXS",*,"0x3031315b7a7479ed:0xde61e6cddb9a34e3","ChIJ7Xl0elsxMTAR4zSa283mYd4"
"Laundry Express Medan - Barakah Laundry",*,"Jl. Karya No.36D, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117","Jl. Karya No.36D","Sei Agul","Binatu Cucian Kering","Asia/Jakarta",*,"0812-6950-9929","0812-6950-9929, +62 812-6950-9929","YES",56,4.9,"https://search.google.com/local/reviews?placeid=ChIJ5zqBrkcxMTAR511QzL1lRPA&q=la","https://www.google.com/maps?cid=17313074733370072551",3.6035416999999996,98.66519389999999,*,*,"Minggu: [07.00-20.30], Senin: [07.00-20.30], Selasa: [07.00-20.30], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMUpZeSMZE_xbK8Z_r7SdX4kz1LjTtO2lPuzjq7",*,"0x30313147ae813ae7:0xf04465bdcc505de7","ChIJ5zqBrkcxMTAR511QzL1lRPA"
"Noda Laundry Medan (Wet Cleaning & Dry Cleaning)",*,"Jl. Gandhi No.218B, Sei Rengas II, Kec. Medan Area, Kota Medan, Sumatera Utara 2","Jl. Gandhi No.218B","Sei Rengas II","Binatu Cucian Kering, Layanan Binatu","Asia/Jakarta",*,"0811-6143-977","0811-6143-977, +62 811-6143-977","YES",21,4.8,"https://search.google.com/local/reviews?placeid=ChIJv83ZiTYxMTARtFGt0m6NMoE&q=la","https://www.google.com/maps?cid=9309658886848729524",3.5852253999999997,98.6997607,*,*,"Minggu: [09.00-20.00], Senin: [09.00-20.00], Selasa: [09.00-20.00], Rabu: [09.00","https://lh5.googleusercontent.com/p/AF1QipMfYGDJfjGmPLLEfooTwhj1eFFLB3MKvA7D7-sc",*,"0x3031313689d9cdbf:0x81328d6ed2ad51b4","ChIJv83ZiTYxMTARtFGt0m6NMoE"
"Noda Laundry Medan (Wet Cleaning & Dry Cleaning)",*,"Ruko Halat Center No A-2, Jl. Halat, Ps. Merah Bar., Kec. Medan Kota, Kota Medan","Ruko Halat Center No A-2","Jl. Halat","Binatu, Grosir bahan kimia, Pemasok peralatan binatu yang dioperasikan dengan ko","Asia/Jakarta",*,"0822-2720-0082","0822-2720-0082, +62 822-2720-0082","YES",38,4.6,"https://search.google.com/local/reviews?placeid=ChIJR1XFo08wMTARfYXuJaPwOTA&q=la","https://www.google.com/maps?cid=3475073170999772541",3.5722704,98.6907117,*,*,"Minggu: [Tutup], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00-19.00","https://lh5.googleusercontent.com/p/AF1QipNNfojgmetwNOg14qYt0iVfYBGyUR5Rnze0uQO8",*,"0x3031304fa3c55547:0x3039f0a325ee857d","ChIJR1XFo08wMTARfYXuJaPwOTA"
"laundry (C63 Laundry medan)",*,"pajak pagi, Jl. Cahaya No.63, Durian, Kec. Medan Tim., Kota Medan, Sumatera Utar","pajak pagi","Jl. Cahaya No.63","Binatu","Asia/Jakarta",*,"0813-7661-0143","0813-7661-0143, +62 813-7661-0143","YES",27,4.9,"https://search.google.com/local/reviews?placeid=ChIJl4AD5OwxMTARC7JdXCSj_mA&q=la","https://www.google.com/maps?cid=6989203048289382923",3.6076877,98.6802986,*,*,"Minggu: [Tutup], Senin: [07.00-18.00], Selasa: [07.00-18.00], Rabu: [07.00-18.00","https://lh5.googleusercontent.com/p/AF1QipOQxNgO7qoTcWSbgmO-uBEvnxUrhpd0-__oXxU7",*,"0x303131ece4038097:0x60fea3245c5db20b","ChIJl4AD5OwxMTARC7JdXCSj_mA"
"Megoria Laundry & Dry Cleaning",*,"Jl. KH. Zainul Arifin No.140, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Su","Jl. KH. Zainul Arifin No.140","Petisah Tengah","Layanan Binatu","Asia/Jakarta",*,"(061) 4511917","(061) 4511917, +62 61 4511917","NO",21,4.6,"https://search.google.com/local/reviews?placeid=ChIJ4YcMbNIxMTAR1SJ4pFWuNJk&q=la","https://www.google.com/maps?cid=11039640269446718165",3.5839562,98.6700898,*,*,,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhEf7mYD7zRjbdGXyBZdydnCy_jcGGlf",*,"0x303131d26c0c87e1:0x9934ae55a47822d5","ChIJ4YcMbNIxMTAR1SJ4pFWuNJk"
"Cahaya Laundry Medan",*,"Jl. Suka Baru No.21, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, S","Jl. Suka Baru No.21","Padang Bulan Selayang I","Binatu","Asia/Jakarta",*,,,"NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJf3yCqRsvMTARgy_ovRuJZ54&q=la","https://www.google.com/maps?cid=11414242532837044099",3.5683569,98.6501333,*,*,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WCgAIFvYT1HPWqLs7",*,"0x30312f1ba9827c7f:0x9e67891bbde82f83","ChIJf3yCqRsvMTARgy_ovRuJZ54"
"Laundry Express Medan - Barakah Laundry",*,"Jl. Karya No.36D, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117","Jl. Karya No.36D","Sei Agul","Binatu Cucian Kering","Asia/Jakarta",*,"0812-6950-9929","0812-6950-9929, +62 812-6950-9929","YES",56,4.9,"https://search.google.com/local/reviews?placeid=ChIJ5zqBrkcxMTAR511QzL1lRPA&q=la","https://www.google.com/maps?cid=17313074733370072551",3.6035416999999996,98.66519389999999,*,*,"Minggu: [07.00-20.30], Senin: [07.00-20.30], Selasa: [07.00-20.30], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMUpZeSMZE_xbK8Z_r7SdX4kz1LjTtO2lPuzjq7",*,"0x30313147ae813ae7:0xf04465bdcc505de7","ChIJ5zqBrkcxMTAR511QzL1lRPA"
"Noda Laundry Medan (Wet Cleaning & Dry Cleaning)",*,"Jl. Padang Golf No.10, Suka Damai, Kec. Medan Polonia, Kota Medan, Sumatera Utar","Jl. Padang Golf No.10","Suka Damai","Binatu, Binatu Cucian Kering, Layanan Binatu","Asia/Jakarta",*,"0857-6076-2519","0857-6076-2519, +62 857-6076-2519","YES",212,4.8,"https://search.google.com/local/reviews?placeid=ChIJZab2DYsxMTARRik1nh-KByg&q=la","https://www.google.com/maps?cid=2884425954756995398",3.5566107999999996,98.6812547,*,*,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipOpuqhaH2hjsiHZrLMnt5oHw6rspTLWKLDUEQxH",*,"0x3031318b0df6a665:0x28078a1f9e352946","ChIJZab2DYsxMTARRik1nh-KByg"
"Laundry Medan ( Brilliant Laundry)",*,"JM6C+6PH, Jl. Sekata, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 2023","JM6C+6PH","Jl. Sekata","Binatu Cucian Kering","Asia/Jakarta",*,"0853-6230-0075","0853-6230-0075, +62 853-6230-0075","NO",6,4.7,"https://search.google.com/local/reviews?placeid=ChIJCQCn4u8xMTARoWOMPbqxaSM&q=la","https://www.google.com/maps?cid=2551766077336740769",3.6105543,98.6718636,*,*,,"https://lh3.googleusercontent.com/gps-proxy/ALd4DhEezTHFv_bX0Ti_h_Yc782mlRCXUwCo",*,"0x303131efe2a70009:0x2369b1ba3d8c63a1","ChIJCQCn4u8xMTARoWOMPbqxaSM"
"Saniah Laundry",*,"Jl. S. Parman No.53, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Ut","Jl. S. Parman No.53","Petisah Tengah","Layanan Binatu","Asia/Jakarta",*,"0819-0608-6668","0819-0608-6668, +62 819-0608-6668","YES",59,4.6,"https://search.google.com/local/reviews?placeid=ChIJYckhnd8xMTAR5zTmjRgDIn0&q=la","https://www.google.com/maps?cid=9016772807943927015",3.5906851,98.6702092,*,*,"Minggu: [09.00-19.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipOAVgqvFv7NsIpWwnAkMsDx17TEnQVpy193T6IM",*,"0x303131df9d21c961:0x7d2203188de634e7","ChIJYckhnd8xMTAR5zTmjRgDIn0"
"Rinse n Shine Coin Laundry",*,"Jl. Karya Rakyat Kel No.71, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utar","Jl. Karya Rakyat Kel No.71","Sei Agul","Binatu","Asia/Jakarta",*,"0819-2009-190","0819-2009-190, +62 819-2009-190","YES",2,5,"https://search.google.com/local/reviews?placeid=ChIJm37FosgvMTARMw_FmmPTY0o&q=la","https://www.google.com/maps?cid=5360360406252850995",3.6065104999999997,98.6577925,*,*,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipOrdvc6pwpHs8xwtWyyFzkdOTYStrQFTBdkddXf",*,"0x30312fc8a2c57e9b:0x4a63d3639ac50f33","ChIJm37FosgvMTARMw_FmmPTY0o"
"laundry medan",*,"JMC9+XQW, Jl. KL. Yos Sudarso Jl. Lingkungan I, Pulo Brayan Kota, Kec. Medan Bar","JMC9+XQW","Jl. KL. Yos Sudarso Jl. Lingkungan I","Binatu Cucian Kering","Asia/Jakarta",*,"0812-6686-0094","0812-6686-0094, +62 812-6686-0094","NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJScSoP2ozMTARPKE7H2kz_yI&q=la","https://www.google.com/maps?cid=2521790842939351356",3.6224817,98.6694551,*,*,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aoUYAlg8gEf56mdK3",*,"0x3031336a3fa8c449:0x22ff33691f3ba13c","ChIJScSoP2ozMTARPKE7H2kz_yI"
"Chuchi One Stop Laundry",*,"Jl. K.H. Wahid Hasyim No.126 Simpang Barat, Sei Sikambing D, Kec. Medan Petisah,","Jl. K.H. Wahid Hasyim No.126 Simpang Barat","Sei Sikambing D","Binatu","Asia/Jakarta",*,"0823-6905-7444","0823-6905-7444, +62 823-6905-7444","YES",10,4.9,"https://search.google.com/local/reviews?placeid=ChIJb2c7TyguMTARjnyMhAg21vQ&q=la","https://www.google.com/maps?cid=17642348000481934478",3.5886666,98.6582679,*,*,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipN8opiOUsJHJ0kmMQU8Ecna5kSaIn6mV-I9gXKb",*,"0x30312e284f3b676f:0xf4d63608848c7c8e","ChIJb2c7TyguMTARjnyMhAg21vQ"
"Premium Laundry",*,"Jl. Karya No.201, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara 2","Jl. Karya No.201","Karang Berombak","Binatu Cucian Kering","Asia/Jakarta",*,"0822-7565-7705","0822-7565-7705, +62 822-7565-7705","YES",21,4.4,"https://search.google.com/local/reviews?placeid=ChIJw0CcXJcxMTARtxnCfXABqmc&q=la","https://www.google.com/maps?cid=7469784514605226423",3.6174074999999997,98.6656797,*,*,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMOe78UibhRqjyqY07LrXEORP7RY0t8Jszm29TU",*,"0x303131975c9c40c3:0x67aa01707dc219b7","ChIJw0CcXJcxMTARtxnCfXABqmc"
"Laundry House",*,"Jl. Jemadi No.17, Pulo Brayan Kota, Kec. Medan Bar., Medan Timur, Sumatera Utara","Jl. Jemadi No.17","Pulo Brayan Kota","Binatu Cucian Kering","Asia/Jakarta",*,"0811-637-449","0811-637-449, +62 811-637-449","YES",42,4.9,"https://search.google.com/local/reviews?placeid=ChIJfWJEURsyMTAREnUS02VbfS0&q=la","https://www.google.com/maps?cid=3277876596686615826",3.6259001,98.67156729999999,*,*,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00","https://lh3.googleusercontent.com/gps-proxy/ALd4DhEiZJ5Om38mQFIiBCJTHIb2gnXWnZBi",*,"0x3031321b5144627d:0x2d7d5b65d3127512","ChIJfWJEURsyMTAREnUS02VbfS0"
"Easy Laundry",*,"Jl. Karya No.146 B, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara","Jl. Karya No.146 B","Karang Berombak","Binatu","Asia/Jakarta",*,,,"YES",1,5,"https://search.google.com/local/reviews?placeid=ChIJzWAIteAxMTARdsW-zEdvd40&q=la","https://www.google.com/maps?cid=10193738635744822646",3.6117953999999997,98.6656527,*,*,,"https://lh5.googleusercontent.com/p/AF1QipNRq5TvbLNYVvUmftpWL2OXqySbRYbsyI0LBQmx",*,"0x303131e0b50860cd:0x8d776f47ccbec576","ChIJzWAIteAxMTARdsW-zEdvd40"
"Laundry Medan",*,"Jl. Brig Jend. Zein Hamid No.28, Kedai Durian, Kec. Medan Johor, Kota Medan, Sum","Jl. Brig Jend. Zein Hamid No.28","Kedai Durian","Binatu Cucian Kering","Asia/Jakarta",*,"0853-6230-0075","0853-6230-0075, +62 853-6230-0075","NO",64,5,"https://search.google.com/local/reviews?placeid=ChIJr7PnYgExMTARsxponWu--jc&q=la","https://www.google.com/maps?cid=4033745785675324083",3.5195950999999996,98.68083419999999,*,*,"Minggu: [06.00-22.00], Senin: [06.00-22.00], Selasa: [06.00-22.00], Rabu: [06.00","https://lh5.googleusercontent.com/p/AF1QipMPMQgaXjiZEWFvUF3xqsz5GfHBrARCUS_6O4jw",*,"0x3031310162e7b3af:0x37fabe6b9d681ab3","ChIJr7PnYgExMTARsxponWu--jc"
"G2 Laundry",*,"Jl. Ps. Baru No.55, Titi Rantai, Kec. Medan Baru, Kota Medan, Sumatera Utara 201","Jl. Ps. Baru No.55","Titi Rantai","Binatu","Asia/Jakarta",*,"0812-6060-0101","0812-6060-0101, +62 812-6060-0101","YES",2,5,"https://search.google.com/local/reviews?placeid=ChIJZweMU7cvMTARAV7oJ8779-Q&q=la","https://www.google.com/maps?cid=16498932622746476033",3.5518226999999998,98.6540856,*,*,"Minggu: [10.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00","https://lh5.googleusercontent.com/p/AF1QipPsas9_xqLwFRpZAFhTEpBxppzDwxc1iq-I-9tw",*,"0x30312fb7538c0767:0xe4f7fbce27e85e01","ChIJZweMU7cvMTARAV7oJ8779-Q"
"Cahaya Laundry Medan",*,"Jl. Suka Baru No.21, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, S","Jl. Suka Baru No.21","Padang Bulan Selayang I","Binatu","Asia/Jakarta",*,,,"NO",1,5,"https://search.google.com/local/reviews?placeid=ChIJf3yCqRsvMTARgy_ovRuJZ54&q=la","https://www.google.com/maps?cid=11414242532837044099",3.5683569,98.6501333,*,*,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WCgAIFvYT1HPWqLs7",*,"0x30312f1ba9827c7f:0x9e67891bbde82f83","ChIJf3yCqRsvMTARgy_ovRuJZ54"
"Laundry Syari Medan",*,"Jl. Darussalam No.101, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153","Jl. Darussalam No.101","Babura","Binatu","Asia/Jakarta",*,"0813-6273-8258","0813-6273-8258, +62 813-6273-8258","YES",10,5,"https://search.google.com/local/reviews?placeid=ChIJsxgYOdMvMTARkAc_yw3kjKE&q=la","https://www.google.com/maps?cid=11640929884741502864",3.5797098999999997,98.6532295,*,*,"Minggu: [Tutup], Senin: [08.00-17.30], Selasa: [08.00-17.30], Rabu: [08.00-17.30","https://lh5.googleusercontent.com/p/AF1QipNzdQweo9GvqmU_flEKjFMdiS2HYyiCz1kS4a5i",*,"0x30312fd3391818b3:0xa18ce40dcb3f0790","ChIJsxgYOdMvMTARkAc_yw3kjKE"
"Laundry Express Medan - Barakah Laundry",*,"Jl. Karya No.36D, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117","Jl. Karya No.36D","Sei Agul","Binatu Cucian Kering","Asia/Jakarta",*,"0812-6950-9929","0812-6950-9929, +62 812-6950-9929","YES",56,4.9,"https://search.google.com/local/reviews?placeid=ChIJ5zqBrkcxMTAR511QzL1lRPA&q=la","https://www.google.com/maps?cid=17313074733370072551",3.6035416999999996,98.66519389999999,*,*,"Minggu: [07.00-20.30], Senin: [07.00-20.30], Selasa: [07.00-20.30], Rabu: [07.00","https://lh5.googleusercontent.com/p/AF1QipMUpZeSMZE_xbK8Z_r7SdX4kz1LjTtO2lPuzjq7",*,"0x30313147ae813ae7:0xf04465bdcc505de7","ChIJ5zqBrkcxMTAR511QzL1lRPA"
