Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
Laundry Express Juan Jakarta,"RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota",Kecamatan Gambir,Layanan Binatu,Asia/Jakarta,"0822-3333-8217, +62 822-3333-8217",YES,80.0,4.5,https://search.google.com/local/reviews?placeid=ChIJm2RMLdz1aS4Rf7Rt1UN9DFY&q=la,https://www.google.com/maps?cid=6200468517279347839,-6.1653926,106.8216298,https://g.co/kgs/gBzEL8,g.co,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipO2yznVaQt5s4d5SDHimMd5JBVzJ4UXcafeH1EI
Aap laundry antar jemput,"Jl. Batu III No.11, RT.8/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Dae","RT.8/RW.1, Gambir",Layanan Binatu,Asia/Jakarta,"0852-1690-3864, +62 852-1690-3864",YES,271.0,5.0,https://search.google.com/local/reviews?placeid=ChIJRfYo0Ir1aS4RqGLunzNX9Gs&q=la,https://www.google.com/maps?cid=7778938335613837992,-6.1791207,106.835987,https://sites.google.com/view/aaplaundryantarjemput/halaman-muka,sites.google.com,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOnjizzOCZrHhAFSZqyBPq0WBMJ3vEK7sbBtr8p
Pepe Laundry 24/7,"Jl. Kebon Jahe Kober 5 No.31, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat,",Petojo Sel.,Layanan Binatu,Asia/Jakarta,"0812-1247-2121, +62 812-1247-2121",YES,37.0,4.3,https://search.google.com/local/reviews?placeid=ChIJ8xu4o9X1aS4RNpBTFTGJ3WE&q=la,https://www.google.com/maps?cid=7051943435436265526,-6.1736789,106.8195706,https://api.whatsapp.com/send/?phone=6281212472121&text&type=phone_number&app_ab,api.whatsapp.com,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOwbMPU7wf8vE4z03I7K4-g3e7RMkcWHfndnds8
5asec,"Jl. Tanah Abang II No.79 1, RT.1/RW.4, Cideng, Kecamatan Gambir, Kota Jakarta Pu","RT.1/RW.4, Cideng","Binatu, Jasa Pembersih Karpet, Binatu Cucian Kering",Asia/Jakarta,"(021) 34831254, +62 21 34831254",YES,116.0,4.2,https://search.google.com/local/reviews?placeid=ChIJ-WhPbX72aS4RkfgxpZOYK6c&q=la,https://www.google.com/maps?cid=12045889388231653521,-6.1755593,106.8128867,http://www.5asecindonesia.com/,5asecindonesia.com,"Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipMncbKHuJoR5eSR5yAxzdi67g1-i5Nb3hUo6AbD
All Washed Laundry Express,"Jl. Petojo Melintang No.13A, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, ",Petojo Sel.,Binatu,Asia/Jakarta,"0851-7542-1708, +62 851-7542-1708",YES,23.0,4.8,https://search.google.com/local/reviews?placeid=ChIJbxD02in3aS4RE2LIHC-5v7Y&q=la,https://www.google.com/maps?cid=13168447447452115475,-6.1714271,106.8168007,https://instagram.com/allwashed.id?igshid=OGQ5ZDc2ODk2ZA==,instagram.com,"Minggu: [09.00-18.00], Senin: [09.00-17.30], Selasa: [09.00-18.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipM4DVlUBGDpjoKBYa9rRHuGXq9qU1x-V1rayU63
ISTANBUL LAUNDRY (Laundry Koin dan Kiloan),"Belakang SPBU (Kontrakan pak OYO, Jl. Abdul Muis No.68, Petojo Sel., Kecamatan G",Jl. Abdul Muis No.68,Binatu Cucian Kering,Asia/Jakarta,"0851-7328-5040, +62 851-7328-5040",YES,14.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ4UL9mqz3aS4RY6EThZBfRwo&q=la,https://www.google.com/maps?cid=740665738038321507,-6.1789403,106.8169591,None,None,"Minggu: [06.00-22.00], Senin: [06.00-22.00], Selasa: [06.00-22.00], Rabu: [06.00",https://lh5.googleusercontent.com/p/AF1QipMWU7bfNHvnthObglokcyoP6QMXWKs0F0PXe5eR
Clique LAUNDRY Kiloan,"Jl. Petojo Binatu IV No.2 4, RT.4/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jak","RT.4/RW.7, Petojo Utara",Layanan Binatu,Asia/Jakarta,None,NO,19.0,4.9,https://search.google.com/local/reviews?placeid=ChIJE6IMEW_3aS4RDFGWOPPgk4o&q=la,https://www.google.com/maps?cid=9985572134041571596,-6.1678251,106.815772,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOXnMeaTfF3RdLRjca_YhP0V9_2MtdPWfC9tVLk
Mahkota laundry,"Kementerian Kelautan Dan Perikanan, Gambir, Kecamatan Gambir, Kota Jakarta Pusat",Gambir,Layanan Binatu,Asia/Jakarta,None,YES,17.0,4.9,https://search.google.com/local/reviews?placeid=ChIJa_xAZgD1aS4RoGNFkcWbCUc&q=la,https://www.google.com/maps?cid=5118793724331385760,-6.1788482,106.8353391,https://mahkotalaundry.com/,mahkotalaundry.com,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNseXYhf_O78HFk3ctzKieiwX3RtSWlmm6wj74w
Hj. Dara Laundry Kiloan,"Gg. Kaji II No.12, RT.12/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusa","RT.12/RW.7, North Petojo",Binatu,Asia/Jakarta,"0812-9929-436, +62 812-9929-436",YES,9.0,4.6,https://search.google.com/local/reviews?placeid=ChIJBa-KMjj3aS4RSXkUYxYRpX4&q=la,https://www.google.com/maps?cid=9125719007785417033,-6.1690261,106.8150108,None,None,"Minggu: [07.00-18.00], Senin: [07.00-18.00], Selasa: [07.00-18.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipP0fLefhm0SCKgEDohIQ-3CCQJGI5zY9DUL7Rl7
Urban Coin Laundry,"Jl. Kuantan No.14, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus I",Cideng,Layanan Binatu,Asia/Jakarta,"0878-7736-7813, +62 878-7736-7813",YES,13.0,4.8,https://search.google.com/local/reviews?placeid=ChIJJVfLlVL3aS4RBB-EUoYx1I0&q=la,https://www.google.com/maps?cid=10219847907390267140,-6.175987,106.808624,None,None,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00",https://lh5.googleusercontent.com/p/AF1QipNK3lUWz0NNxEvuHPnWlOb7HBvIrG_0828sz7jd
Bubbleklin Laundry Percetakan Negara IIA,"Jl. Percetakan Negara IIA No.13, RT.8/RW.4, Johar Baru, Kec. Johar Baru, Kota Ja","RT.8/RW.4, Johar Baru","Layanan Binatu, Binatu",Asia/Jakarta,"0896-7733-6856, +62 896-7733-6856",YES,140.0,4.8,https://search.google.com/local/reviews?placeid=ChIJSeBtva71aS4RZi3BcEQLMwY&q=la,https://www.google.com/maps?cid=446713176617200998,-6.1853304,106.8575171,None,None,"Minggu: [08.00-20.30], Senin: [06.30-20.30], Selasa: [06.30-20.30], Rabu: [06.30",https://lh5.googleusercontent.com/p/AF1QipPasGWGVz_zLuHkOGIXJywfM_ligjVmfXJJrw6-
Zain Laundry Kampung Rawa - Johar baru,"2, Jl. Rawa Sawah 1 No.3, RT.2/RW.6, Galur, Kec. Johar Baru, Kota Jakarta Pusat,",Jl. Rawa Sawah 1 No.3,Layanan Binatu,Asia/Jakarta,"0881-0257-29951, +62 881-0257-29951",YES,63.0,4.8,https://search.google.com/local/reviews?placeid=ChIJRyRzacf1aS4R20v492AjgBM&q=la,https://www.google.com/maps?cid=1405161983123672027,-6.1774597,106.8522843,https://sites.google.com/view/zainlaundry/halaman-muka,sites.google.com,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMkiQNnqjEoDkcNZrUHSsujuwKGnwU0TsZ594mO
Bubbleklin Laundry Mardani,"Jl. Mardani Raya No.11a, RT.2/RW.5, Johar Baru, Kec. Johar Baru, Kota Jakarta Pu","RT.2/RW.5, Johar Baru","Layanan Binatu, Binatu Cucian Kering, Binatu",Asia/Jakarta,"0896-7733-6855, +62 896-7733-6855",YES,93.0,4.5,https://search.google.com/local/reviews?placeid=ChIJafb9Blf0aS4RxUbyIlmjVMA&q=la,https://www.google.com/maps?cid=13858881556559578821,-6.1831938,106.8619871,None,None,"Minggu: [08.00-21.00], Senin: [06.30-21.00], Selasa: [06.30-21.00], Rabu: [06.30",https://lh5.googleusercontent.com/p/AF1QipPswN63IlS2lrgSCzyiECvJIv2DlrIkh-qLnWbs
Klin 99 Laundry,"Jl. Mardani Raya No.13-D/76, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Da",Johar Baru,Layanan Binatu,Asia/Jakarta,"0877-8400-6888, +62 877-8400-6888",YES,29.0,4.7,https://search.google.com/local/reviews?placeid=ChIJtzsP8CL1aS4RGTn8cqaGJtk&q=la,https://www.google.com/maps?cid=15647342004797192473,-6.186973399999999,106.8633049,https://linktr.ee/klin99laundry,linktr.ee,"Minggu: [08.00-16.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMdvf_WZ2o18fWLmnzt4imwPsMi8z7Qa-kKq_rc
Tukang Laundry,"Jl. Kp. Rw. Sawah No.1, RT.14/RW.2, Johar Baru, Kec. Johar Baru, Kota Jakarta Pu","RT.14/RW.2, Johar Baru",Binatu,Asia/Jakarta,"0877-0001-1077, +62 877-0001-1077",NO,14.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ_0bsoA71aS4RFGruUQUecSo&q=la,https://www.google.com/maps?cid=3058258630159526420,-6.1801312,106.8539635,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPVD67ZgZvkjHiC-ZxhH3JA3C-R7NPT5OgKCBrW
pandawa laundry,"Jl. Johar Baru Utara I No.26 8, RT.11/RW.3, Johar Baru, Kec. Johar Baru, Kota Ja","RT.11/RW.3, Johar Baru",Binatu,Asia/Jakarta,"0877-7566-4530, +62 877-7566-4530",NO,17.0,4.7,https://search.google.com/local/reviews?placeid=ChIJxVs7OVH0aS4RSUNMa0RK-e0&q=la,https://www.google.com/maps?cid=17147818713908265801,-6.1820159,106.8581369,None,None,"Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.00-21.00], Rabu: [06.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I6-Qj5eKLNpz0OTS-
Kim's Laundry,"Jl. Kramat Jaya Baru IV No.7 15, RT.15/RW.1, Johar Baru, Kec. Johar Baru, Kota J","RT.15/RW.1, Johar Baru",Layanan Binatu,Asia/Jakarta,"0812-1912-5757, +62 812-1912-5757",YES,13.0,5.0,https://search.google.com/local/reviews?placeid=ChIJUcazCIn1aS4RVx5_0WGPJOE&q=la,https://www.google.com/maps?cid=16223249407984737879,-6.1849786,106.8542376,None,None,"Minggu: [08.00-21.00], Senin: [07.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOilXALFnjeUVvH-fN_YDTGJs-Lbc40EPEdVPts
Annisa Laundry,"Jl. Mardani Raya No.104B 1, RT.1/RW.9, Johar Baru, Kec. Johar Baru, Kota Jakarta","RT.1/RW.9, Johar Baru",Layanan Binatu,Asia/Jakarta,None,NO,10.0,5.0,https://search.google.com/local/reviews?placeid=ChIJc8-uyHT1aS4RcbBzfTFsavo&q=la,https://www.google.com/maps?cid=18044353816827244657,-6.185279899999999,106.8622462,None,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [Tutup], Rabu: [08.00-20.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Pd3p0DtupBKssudF
Laundry Jagoan Cempaka,"Jl. Pangkalan Asem No.55, RT.2/RW.5, Kp. Rw., Kec. Johar Baru, Kota Jakarta Pusa","RT.2/RW.5, Kp. Rw.","Binatu, Toko Perlengkapan Rumah",Asia/Jakarta,"0813-8445-4566, +62 813-8445-4566",YES,14.0,5.0,https://search.google.com/local/reviews?placeid=ChIJI9UU0VX0aS4RC4eQ-jsZrqw&q=la,https://www.google.com/maps?cid=12442910565868799755,-6.1789162,106.8590957,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOz3IbmxBFnLwI3G53BNrEQl2RRWjvBHEbir2hs
ZAIN Laundry Kramat Jaya Johar,"Jl. Kramat Jaya Baru No.14, RT.4/RW.1, Johar Baru, Kec. Johar Baru, Kota Jakarta","RT.4/RW.1, Johar Baru",Binatu Cucian Kering,Asia/Jakarta,None,NO,13.0,4.0,https://search.google.com/local/reviews?placeid=ChIJ7Rx5o-r1aS4RfFYgA8wUSwk&q=la,https://www.google.com/maps?cid=669651836052985468,-6.1851077,106.8522987,None,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMVAbV95Lr1s5iOCDd5N7e6qQnaIvqWKlMd6kDZ
Aqila laundry Kemayoran,"Jl. Kemayoran Gempol No.2A, RT.3/RW.3, Kb. Kosong, Kec. Kemayoran, Kota Jakarta ","RT.3/RW.3, Kb. Kosong",Layanan Binatu,Asia/Jakarta,"0878-7397-2777, +62 878-7397-2777",NO,26.0,5.0,https://search.google.com/local/reviews?placeid=ChIJXfFuUF31aS4RyRBJPVlYwUs&q=la,https://www.google.com/maps?cid=5458741363653284041,-6.1621203,106.8509232,None,None,"Minggu: [Tutup], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00-21.00",https://lh5.googleusercontent.com/p/AF1QipOptAGT7gcbLjW-6nCPyRDC2N6N0EHrM3AbDVYy
B.O.S LAUNDRY,"Jl. Serdang Baru raya No.43C, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daera",Serdang,"Binatu, Binatu Cucian Kering, Reparasi Koper, Toko Reparasi Sepatu, Reparasi Mes",Asia/Jakarta,"0812-1896-9929, +62 812-1896-9929",YES,157.0,4.9,https://search.google.com/local/reviews?placeid=ChIJ03NFbnr1aS4Rs_9idevNNKA&q=la,https://www.google.com/maps?cid=11544078156027854771,-6.159843599999999,106.8616199,http://www.boslaundry.net/,boslaundry.net,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipNjZtNEMo2Yc4_COQcer486azAY_tOB-wPZ4827
Dokter Clean - Laundry & Dry Cleaning | Laundry Express | Laundry Antar Jemput,"Jl. Sumur Batu Raya No.24 9, RT.18/RW.7, Cempaka Baru, Kemayoran, Central Jakart","RT.18/RW.7, Cempaka Baru",Binatu,Asia/Jakarta,"0813-6110-6020, +62 813-6110-6020",YES,194.0,4.7,https://search.google.com/local/reviews?placeid=ChIJN0kOVS31aS4RzQaDa5MUplA&q=la,https://www.google.com/maps?cid=5811354992564700877,-6.1674056,106.869885,None,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNjZ3NgcKDJE7_JJU6NWsRBZGc4IU_cwZUhRrgN
Zap Laundry Mansion Kemayoran Jasmine,"The Mansion Kemayoran, Tower Jasmine, Lobby Level, Antara Lobby Aurora dan Bella",East Pademangan,Layanan Binatu,Asia/Jakarta,"0819-0755-7350, +62 819-0755-7350",YES,51.0,4.1,https://search.google.com/local/reviews?placeid=ChIJHenEdZD1aS4RlqwHO0EavDg&q=la,https://www.google.com/maps?cid=4088171429211122838,-6.1465061,106.8531101,None,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOmrpCMYj_RcBWxFDyrFe19muIcRVO-d5HILfYy
Banana Laundry,"Jl. Harapan Mulia 8 No.2C. Kel. Harapan Mulia, Kec. Kemayoran, Jakarta Pusat, Da",Daerah Khusus Ibukota Jakarta 10640,Binatu,Asia/Jakarta,"0821-2529-4016, +62 821-2529-4016",YES,94.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ6X7DF5n1aS4RoW8rEUULY2M&q=la,https://www.google.com/maps?cid=7161580223717928865,-6.1699855,106.8563667,None,None,"Minggu: [07.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipORv3QW5gcotaWZWXZ4Wr2C6VBbIBEG3lIFFx8T
Kireiwash  Kirei Wash & Beyond - Kemayoran,"Jl. Danau Sunter Utara Blok B1A No. 12A, RT.1/RW.10, Sunter Agung, Jakarta, Jkt ","RT.1/RW.10, Sunter Agung",Binatu,Asia/Jakarta,"0811-9677-704, +62 811-9677-704",YES,53.0,4.7,https://search.google.com/local/reviews?placeid=ChIJnc3dFXX1aS4R-RYANulItrc&q=la,https://www.google.com/maps?cid=13237848321172707065,-6.1399621,106.8596333,http://www.kireiwash.com/,kireiwash.com,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMXr3PzhZPDjysiEOCdjQ7yovs___v0Pw7PQmEB
Unedos laundry,"Jl. Sumur Batu Raya No.2, RT.3/RW.5, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pu","RT.3/RW.5, Cemp. Baru",Binatu,Asia/Jakarta,"0812-8261-8800, +62 812-8261-8800",YES,37.0,4.7,https://search.google.com/local/reviews?placeid=ChIJ9byi4fP1aS4RHsQHLLouzI8&q=la,https://www.google.com/maps?cid=10361708219810169886,-6.1666442,106.8676761,None,None,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMUPwC0xReyc6Q_5irhsJqUKXkgn4_6VSDqGDEx
KlinBar Kilo Laundry,"RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukot",Kec. Kemayoran,Layanan Binatu,Asia/Jakarta,"0812-1122-1303, +62 812-1122-1303",YES,43.0,4.6,https://search.google.com/local/reviews?placeid=ChIJdbVXsd31aS4RcBmBW8YInDQ&q=la,https://www.google.com/maps?cid=3790914634370849136,-6.1552453,106.8525439,http://www.klinbar.id/,klinbar.id,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP0dtuCCeewTCWFj6WaInU6R6sijbsiOPw6xm9l
ALFA LAUNDRY COIN EXPRESS 3 JAM SELESAI,"Jl. Serdang Raya No.32 1, RT.1/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta P","RT.1/RW.10, Cemp. Baru","Binatu Cucian Kering, Reparasi Mesin Cuci & Pengering",Asia/Jakarta,"0812-1306-4735, +62 812-1306-4735",YES,44.0,4.5,https://search.google.com/local/reviews?placeid=ChIJC7s8l_z1aS4RDOxd9L3ERUE&q=la,https://www.google.com/maps?cid=4703381705986010124,-6.1623867,106.8598311,https://g.co/kgs/YBGx67,g.co,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOsMTO7SmcSHoCU7TSx21AjFY5wvzDEsQR3p3Vz
