Name,Fulladdress,Categories,phone,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Opening Hours,Featured Image
Laundry Express Juan Jakarta,"RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota",Layanan Binatu,+62 822-3333-8217,275,5.0,https://search.google.com/local/reviews?placeid=ChIJm2RMLdz1aS4Rf7Rt1UN9DFY&q=la,https://www.google.com/maps?cid=6200468517279347839,-6.1653926,106.8216298,https://g.co/kgs/gBzEL8,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipO2yznVaQt5s4d5SDHimMd5JBVzJ4UXcafeH1EI
Aap laundry antar jemput,"Jl. Batu III No.11, RT.8/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Dae",Layanan Binatu,+62 852-1690-3864,58,4.6,https://search.google.com/local/reviews?placeid=ChIJRfYo0Ir1aS4RqGLunzNX9Gs&q=la,https://www.google.com/maps?cid=7778938335613837992,-6.1791207,106.835987,https://sites.google.com/view/aaplaundryantarjemput/halaman-muka,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOnjizzOCZrHhAFSZqyBPq0WBMJ3vEK7sbBtr8p
Pepe Laundry 24/7,"Jl. Kebon Jahe Kober 5 No.31, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat,",Layanan Binatu,+62 812-1247-2121,171,4.9,https://search.google.com/local/reviews?placeid=ChIJ8xu4o9X1aS4RNpBTFTGJ3WE&q=la,https://www.google.com/maps?cid=7051943435436265526,-6.1736789,106.8195706,https://api.whatsapp.com/send/?phone=6281212472121&text&type=phone_number&app_ab,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOwbMPU7wf8vE4z03I7K4-g3e7RMkcWHfndnds8
5asec,"Jl. Tanah Abang II No.79 1, RT.1/RW.4, Cideng, Kecamatan Gambir, Kota Jakarta Pu","Binatu, Jasa Pembersih Karpet, Binatu Cucian Kering",+62 21 34831254,4,5.0,https://search.google.com/local/reviews?placeid=ChIJ-WhPbX72aS4RkfgxpZOYK6c&q=la,https://www.google.com/maps?cid=12045889388231653521,-6.1755593,106.8128867,http://www.5asecindonesia.com/,"Minggu: [Tutup], Senin: [08.00-19.00], Selasa: [08.00-19.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipMncbKHuJoR5eSR5yAxzdi67g1-i5Nb3hUo6AbD
All Washed Laundry Express,"Jl. Petojo Melintang No.13A, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, ",Binatu,+62 851-7542-1708,40,4.6,https://search.google.com/local/reviews?placeid=ChIJbxD02in3aS4RE2LIHC-5v7Y&q=la,https://www.google.com/maps?cid=13168447447452115475,-6.1714271,106.8168007,https://instagram.com/allwashed.id?igshid=OGQ5ZDc2ODk2ZA==,"Minggu: [09.00-18.00], Senin: [09.00-17.30], Selasa: [09.00-18.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipM4DVlUBGDpjoKBYa9rRHuGXq9qU1x-V1rayU63
ISTANBUL LAUNDRY (Laundry Koin dan Kiloan),"Belakang SPBU (Kontrakan pak OYO, Jl. Abdul Muis No.68, Petojo Sel., Kecamatan G",Binatu Cucian Kering,+62 851-7328-5040,39,5.0,https://search.google.com/local/reviews?placeid=ChIJ4UL9mqz3aS4RY6EThZBfRwo&q=la,https://www.google.com/maps?cid=740665738038321507,-6.1789403,106.8169591,None,"Minggu: [06.00-22.00], Senin: [06.00-22.00], Selasa: [06.00-22.00], Rabu: [06.00",https://lh5.googleusercontent.com/p/AF1QipMWU7bfNHvnthObglokcyoP6QMXWKs0F0PXe5eR
Clique LAUNDRY Kiloan,"Jl. Petojo Binatu IV No.2 4, RT.4/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jak",Layanan Binatu,None,99,4.7,https://search.google.com/local/reviews?placeid=ChIJE6IMEW_3aS4RDFGWOPPgk4o&q=la,https://www.google.com/maps?cid=9985572134041571596,-6.1678251,106.815772,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOXnMeaTfF3RdLRjca_YhP0V9_2MtdPWfC9tVLk
Mahkota laundry,"Kementerian Kelautan Dan Perikanan, Gambir, Kecamatan Gambir, Kota Jakarta Pusat",Layanan Binatu,None,4,4.5,https://search.google.com/local/reviews?placeid=ChIJa_xAZgD1aS4RoGNFkcWbCUc&q=la,https://www.google.com/maps?cid=5118793724331385760,-6.1788482,106.8353391,https://mahkotalaundry.com/,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNseXYhf_O78HFk3ctzKieiwX3RtSWlmm6wj74w
Hj. Dara Laundry Kiloan,"Gg. Kaji II No.12, RT.12/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusa",Binatu,+62 812-9929-436,36,4.7,https://search.google.com/local/reviews?placeid=ChIJBa-KMjj3aS4RSXkUYxYRpX4&q=la,https://www.google.com/maps?cid=9125719007785417033,-6.1690261,106.8150108,None,"Minggu: [07.00-18.00], Senin: [07.00-18.00], Selasa: [07.00-18.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipP0fLefhm0SCKgEDohIQ-3CCQJGI5zY9DUL7Rl7
Urban Coin Laundry,"Jl. Kuantan No.14, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus I",Layanan Binatu,+62 878-7736-7813,42,4.6,https://search.google.com/local/reviews?placeid=ChIJJVfLlVL3aS4RBB-EUoYx1I0&q=la,https://www.google.com/maps?cid=10219847907390267140,-6.175987,106.808624,None,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00",https://lh5.googleusercontent.com/p/AF1QipNK3lUWz0NNxEvuHPnWlOb7HBvIrG_0828sz7jd
Bubbleklin Laundry Percetakan Negara IIA,"Jl. Percetakan Negara IIA No.13, RT.8/RW.4, Johar Baru, Kec. Johar Baru, Kota Ja","Layanan Binatu, Binatu",+62 896-7733-6856,210,4.6,https://search.google.com/local/reviews?placeid=ChIJSeBtva71aS4RZi3BcEQLMwY&q=la,https://www.google.com/maps?cid=446713176617200998,-6.1853304,106.8575171,None,"Minggu: [08.00-20.30], Senin: [06.30-20.30], Selasa: [06.30-20.30], Rabu: [06.30",https://lh5.googleusercontent.com/p/AF1QipPasGWGVz_zLuHkOGIXJywfM_ligjVmfXJJrw6-
Zain Laundry Kampung Rawa - Johar baru,"2, Jl. Rawa Sawah 1 No.3, RT.2/RW.6, Galur, Kec. Johar Baru, Kota Jakarta Pusat,",Layanan Binatu,+62 881-0257-29951,430,5.0,https://search.google.com/local/reviews?placeid=ChIJRyRzacf1aS4R20v492AjgBM&q=la,https://www.google.com/maps?cid=1405161983123672027,-6.1774597,106.8522843,https://sites.google.com/view/zainlaundry/halaman-muka,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMkiQNnqjEoDkcNZrUHSsujuwKGnwU0TsZ594mO
Bubbleklin Laundry Mardani,"Jl. Mardani Raya No.11a, RT.2/RW.5, Johar Baru, Kec. Johar Baru, Kota Jakarta Pu","Layanan Binatu, Binatu Cucian Kering, Binatu",+62 896-7733-6855,135,4.8,https://search.google.com/local/reviews?placeid=ChIJafb9Blf0aS4RxUbyIlmjVMA&q=la,https://www.google.com/maps?cid=13858881556559578821,-6.1831938,106.8619871,None,"Minggu: [08.00-21.00], Senin: [06.30-21.00], Selasa: [06.30-21.00], Rabu: [06.30",https://lh5.googleusercontent.com/p/AF1QipPswN63IlS2lrgSCzyiECvJIv2DlrIkh-qLnWbs
Klin 99 Laundry,"Jl. Mardani Raya No.13-D/76, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Da",Layanan Binatu,+62 877-8400-6888,197,4.9,https://search.google.com/local/reviews?placeid=ChIJtzsP8CL1aS4RGTn8cqaGJtk&q=la,https://www.google.com/maps?cid=15647342004797192473,-6.186973399999999,106.8633049,https://linktr.ee/klin99laundry,"Minggu: [08.00-16.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMdvf_WZ2o18fWLmnzt4imwPsMi8z7Qa-kKq_rc
Tukang Laundry,"Jl. Kp. Rw. Sawah No.1, RT.14/RW.2, Johar Baru, Kec. Johar Baru, Kota Jakarta Pu",Binatu,+62 877-0001-1077,34,4.9,https://search.google.com/local/reviews?placeid=ChIJ_0bsoA71aS4RFGruUQUecSo&q=la,https://www.google.com/maps?cid=3058258630159526420,-6.1801312,106.8539635,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPVD67ZgZvkjHiC-ZxhH3JA3C-R7NPT5OgKCBrW
pandawa laundry,"Jl. Johar Baru Utara I No.26 8, RT.11/RW.3, Johar Baru, Kec. Johar Baru, Kota Ja",Binatu,+62 877-7566-4530,84,5.0,https://search.google.com/local/reviews?placeid=ChIJxVs7OVH0aS4RSUNMa0RK-e0&q=la,https://www.google.com/maps?cid=17147818713908265801,-6.1820159,106.8581369,None,"Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.00-21.00], Rabu: [06.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I6-Qj5eKLNpz0OTS-
Kim's Laundry,"Jl. Kramat Jaya Baru IV No.7 15, RT.15/RW.1, Johar Baru, Kec. Johar Baru, Kota J",Layanan Binatu,+62 812-1912-5757,48,4.9,https://search.google.com/local/reviews?placeid=ChIJUcazCIn1aS4RVx5_0WGPJOE&q=la,https://www.google.com/maps?cid=16223249407984737879,-6.1849786,106.8542376,None,"Minggu: [08.00-21.00], Senin: [07.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOilXALFnjeUVvH-fN_YDTGJs-Lbc40EPEdVPts
Annisa Laundry,"Jl. Mardani Raya No.104B 1, RT.1/RW.9, Johar Baru, Kec. Johar Baru, Kota Jakarta",Layanan Binatu,None,34,5.0,https://search.google.com/local/reviews?placeid=ChIJc8-uyHT1aS4RcbBzfTFsavo&q=la,https://www.google.com/maps?cid=18044353816827244657,-6.185279899999999,106.8622462,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [Tutup], Rabu: [08.00-20.00",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Pd3p0DtupBKssudF
Laundry Jagoan Cempaka,"Jl. Pangkalan Asem No.55, RT.2/RW.5, Kp. Rw., Kec. Johar Baru, Kota Jakarta Pusa","Binatu, Toko Perlengkapan Rumah",+62 813-8445-4566,13,5.0,https://search.google.com/local/reviews?placeid=ChIJI9UU0VX0aS4RC4eQ-jsZrqw&q=la,https://www.google.com/maps?cid=12442910565868799755,-6.1789162,106.8590957,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOz3IbmxBFnLwI3G53BNrEQl2RRWjvBHEbir2hs
ZAIN Laundry Kramat Jaya Johar,"Jl. Kramat Jaya Baru No.14, RT.4/RW.1, Johar Baru, Kec. Johar Baru, Kota Jakarta",Binatu Cucian Kering,None,10,4.9,https://search.google.com/local/reviews?placeid=ChIJ7Rx5o-r1aS4RfFYgA8wUSwk&q=la,https://www.google.com/maps?cid=669651836052985468,-6.1851077,106.8522987,None,"Minggu: [08.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMVAbV95Lr1s5iOCDd5N7e6qQnaIvqWKlMd6kDZ
Aqila laundry Kemayoran,"Jl. Kemayoran Gempol No.2A, RT.3/RW.3, Kb. Kosong, Kec. Kemayoran, Kota Jakarta ",Layanan Binatu,+62 878-7397-2777,244,4.8,https://search.google.com/local/reviews?placeid=ChIJXfFuUF31aS4RyRBJPVlYwUs&q=la,https://www.google.com/maps?cid=5458741363653284041,-6.1621203,106.8509232,None,"Minggu: [Tutup], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00-21.00",https://lh5.googleusercontent.com/p/AF1QipOptAGT7gcbLjW-6nCPyRDC2N6N0EHrM3AbDVYy
B.O.S LAUNDRY,"Jl. Serdang Baru raya No.43C, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daera","Binatu, Binatu Cucian Kering, Reparasi Koper, Toko Reparasi Sepatu, Reparasi Mes",+62 812-1896-9929,34,4.5,https://search.google.com/local/reviews?placeid=ChIJ03NFbnr1aS4Rs_9idevNNKA&q=la,https://www.google.com/maps?cid=11544078156027854771,-6.159843599999999,106.8616199,http://www.boslaundry.net/,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipNjZtNEMo2Yc4_COQcer486azAY_tOB-wPZ4827
Dokter Clean - Laundry & Dry Cleaning | Laundry Express | Laundry Antar Jemput,"Jl. Sumur Batu Raya No.24 9, RT.18/RW.7, Cempaka Baru, Kemayoran, Central Jakart",Binatu,+62 813-6110-6020,16,5.0,https://search.google.com/local/reviews?placeid=ChIJN0kOVS31aS4RzQaDa5MUplA&q=la,https://www.google.com/maps?cid=5811354992564700877,-6.1674056,106.869885,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipNjZ3NgcKDJE7_JJU6NWsRBZGc4IU_cwZUhRrgN
Zap Laundry Mansion Kemayoran Jasmine,"The Mansion Kemayoran, Tower Jasmine, Lobby Level, Antara Lobby Aurora dan Bella",Layanan Binatu,+62 819-0755-7350,50,4.2,https://search.google.com/local/reviews?placeid=ChIJHenEdZD1aS4RlqwHO0EavDg&q=la,https://www.google.com/maps?cid=4088171429211122838,-6.1465061,106.8531101,None,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOmrpCMYj_RcBWxFDyrFe19muIcRVO-d5HILfYy
Banana Laundry,"Jl. Harapan Mulia 8 No.2C. Kel. Harapan Mulia, Kec. Kemayoran, Jakarta Pusat, Da",Binatu,+62 821-2529-4016,881,4.1,https://search.google.com/local/reviews?placeid=ChIJ6X7DF5n1aS4RoW8rEUULY2M&q=la,https://www.google.com/maps?cid=7161580223717928865,-6.1699855,106.8563667,None,"Minggu: [07.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipORv3QW5gcotaWZWXZ4Wr2C6VBbIBEG3lIFFx8T
Kireiwash  Kirei Wash & Beyond - Kemayoran,"Jl. Danau Sunter Utara Blok B1A No. 12A, RT.1/RW.10, Sunter Agung, Jakarta, Jkt ",Binatu,+62 811-9677-704,22,5.0,https://search.google.com/local/reviews?placeid=ChIJnc3dFXX1aS4R-RYANulItrc&q=la,https://www.google.com/maps?cid=13237848321172707065,-6.1399621,106.8596333,http://www.kireiwash.com/,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMXr3PzhZPDjysiEOCdjQ7yovs___v0Pw7PQmEB
Unedos laundry,"Jl. Sumur Batu Raya No.2, RT.3/RW.5, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pu",Binatu,+62 812-8261-8800,1,5.0,https://search.google.com/local/reviews?placeid=ChIJ9byi4fP1aS4RHsQHLLouzI8&q=la,https://www.google.com/maps?cid=10361708219810169886,-6.1666442,106.8676761,None,"Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.00-20.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMUPwC0xReyc6Q_5irhsJqUKXkgn4_6VSDqGDEx
KlinBar Kilo Laundry,"RT.13/RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukot",Layanan Binatu,+62 812-1122-1303,11,5.0,https://search.google.com/local/reviews?placeid=ChIJdbVXsd31aS4RcBmBW8YInDQ&q=la,https://www.google.com/maps?cid=3790914634370849136,-6.1552453,106.8525439,http://www.klinbar.id/,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipP0dtuCCeewTCWFj6WaInU6R6sijbsiOPw6xm9l
ALFA LAUNDRY COIN EXPRESS 3 JAM SELESAI,"Jl. Serdang Raya No.32 1, RT.1/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta P","Binatu Cucian Kering, Reparasi Mesin Cuci & Pengering",+62 812-1306-4735,1,5.0,https://search.google.com/local/reviews?placeid=ChIJC7s8l_z1aS4RDOxd9L3ERUE&q=la,https://www.google.com/maps?cid=4703381705986010124,-6.1623867,106.8598311,https://g.co/kgs/YBGx67,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOsMTO7SmcSHoCU7TSx21AjFY5wvzDEsQR3p3Vz
Alifah Laundry,"No.:18, Jl. Kran Raya No.18, RT.9/RW.5, Gn. Sahari Sel., Kec. Kemayoran, Kota Ja",Layanan Binatu,+62 896-2288-0882,33,4.6,https://search.google.com/local/reviews?placeid=ChIJnYxtwL71aS4REL6nNdlmyrk&q=la,https://www.google.com/maps?cid=13387625925406342672,-6.1586892,106.8458969,None,"Minggu: [08.00-00.00], Senin: [08.00-00.00], Selasa: [08.00-00.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMJp1dUrWHmyhVGVOsWn592uNf-AOv1TXBT8iD-
Laundry Hokos Menteng,"Jl. Kramat IV No.46 13, RT.9/RW.6, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daer",Binatu Cucian Kering,+62 813-1717-6173,2,5.0,https://search.google.com/local/reviews?placeid=ChIJfbDEJ5L3aS4RQPQ823xSvU4&q=la,https://www.google.com/maps?cid=5673781801764320320,-6.1867214,106.8412524,http://www.laundryexpresshokos.id/,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipOOych0q5iRmZKOrIfx_Y6gkZAoaYIttpk6st2Y
Four Laundry,"Jl. K.H. Ramli Utara No.4 7, RT.7/RW.3, Menteng Dalam, Kec. Tebet, Kota Jakarta ",Binatu,None,7,4.6,https://search.google.com/local/reviews?placeid=ChIJRe92pyvzaS4RQyhYZeGASQc&q=la,https://www.google.com/maps?cid=525092537121646659,-6.229807399999999,106.8426016,https://instagram.com/four_laundry?igshid=s26qdtanfkd7,"Minggu: [08.00-21.00], Senin: [Tutup], Selasa: [08.00-21.00], Rabu: [08.00-21.00",https://lh5.googleusercontent.com/p/AF1QipPhdyfawMk-ROlMlTR1pol5SFOILrUKKt5g7ZgN
Refa Laundry,"Jl. Kebon Sirih Barat I No.35, RT.13/RW.4, Kb. Sirih, Kec. Menteng, Kota Jakarta",Binatu,+62 859-2185-5544,50,4.3,https://search.google.com/local/reviews?placeid=ChIJjdlKPTD0aS4Rr9hM5FFO3u0&q=la,https://www.google.com/maps?cid=17140223345448245423,-6.1850023,106.8284066,None,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipMiddV7N4Bs0rHvKt4GGugMivXeK4b5K8pifiMc
JEEVES - Menteng,"Apartemen Eksekutif Menteng, Jl. Pegangsaan Barat No.Kav. 6-12, Menteng, Kec. Me","Binatu Cucian Kering, Layanan Binatu",+62 21 3919156,21,4.1,https://search.google.com/local/reviews?placeid=ChIJ9XIHJhX0aS4Rwv3qBDQAcRs&q=la,https://www.google.com/maps?cid=1977361934813167042,-6.1984922,106.8406135,https://www.jeeves-indonesia.com/,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00",https://lh5.googleusercontent.com/p/AF1QipNh6DYvqT-xmtNNMPEkEyxL0ywkzyhso4rSLitb
L'Pourca Laundry,"Jl. K.H. Wahid Hasyim No.12A 2, RT.2/RW.7, Kb. Sirih, Kec. Menteng, Kota Jakarta",Binatu,+62 21 31934350,31,4.4,https://search.google.com/local/reviews?placeid=ChIJodhMPdv1aS4RzPAHFl1J_hg&q=la,https://www.google.com/maps?cid=1800957565145182412,-6.1843795,106.8330974,https://lpourca.id/,"Minggu: [Tutup], Senin: [07.00-19.00], Selasa: [07.00-19.00], Rabu: [07.00-19.00",https://lh5.googleusercontent.com/p/AF1QipNcDSh4uts82w5ZP3D1TNZuaDDaQ4TUOViz9Cur
