Name,Fulladdress,Municipality,Categories,Time Zone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image
Sorcha Laundry Cibadak (Laundry Antar Jemput Bandung),"Gg. Ibu Aisah No.9a, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",Cibadak,Binatu,Asia/Jakarta,"0811-1111-2731, +62 811-1111-2731",YES,275.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ_XkOzCDnaC4REI4WilwNTrI&q=la,https://www.google.com/maps?cid=12848221478039490064,-6.921233699999999,107.5922435,http://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipM0MSqqXoRjOcy4R6o31peG6wXLbV_YdoOvJAaQ
Laundry88,"Jl. Astana Anyar No.308, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat ",Nyengseret,Binatu,Asia/Jakarta,"0812-2415-8658, +62 812-2415-8658",YES,58.0,4.6,https://search.google.com/local/reviews?placeid=ChIJK_18SpnoaC4RFluyIedFbj0&q=la,https://www.google.com/maps?cid=4426552342756875030,-6.933821,107.602334,None,None,"Sabtu: [09.00-21.00], Minggu: [09.00-21.00], Senin: [09.00-21.00], Selasa: [09.0",https://lh5.googleusercontent.com/p/AF1QipPTDl3dnAC7Qqg_3_qmK9dlSRdtcMSXg5oAcc-t
Dokter Clean Cibadak | Laundry Express Bandung | Laundry Antar Jemput,"Jl. Cibadak No.213-227, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 4024",Cibadak,Layanan Binatu,Asia/Jakarta,"0812-8884-9393, +62 812-8884-9393",YES,171.0,4.9,https://search.google.com/local/reviews?placeid=ChIJKYjXHeXnaC4RdPQtlFmvggk&q=la,https://www.google.com/maps?cid=685302892586726516,-6.921087399999999,107.5955639,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipP_0oiFGYXUtJLebUwZ1DWvBgk2qMSHDT-7bac=
Laundry 88,"3HCX+6F3, Gg. Hidayah, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 4024",Gg. Hidayah,Layanan Binatu,Asia/Jakarta,None,NO,4.0,5.0,https://search.google.com/local/reviews?placeid=ChIJJ_g37p_oaC4RUaQSdRJLnzk&q=la,https://www.google.com/maps?cid=4152119924104537169,-6.92948,107.5986592,None,None,None,None
FLO~WASH Laundry Permesin,"Jl. Nyengseret No.22A, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40",Nyengseret,Layanan Binatu,Asia/Jakarta,"0815-6025-143, +62 815-6025-143",YES,40.0,4.6,https://search.google.com/local/reviews?placeid=ChIJyZF2JJnoaC4RswTEdJOkyb8&q=la,https://www.google.com/maps?cid=13819757884789228723,-6.9346219,107.6013237,None,None,"Sabtu: [08.00-18.00], Minggu: [08.00-18.00], Senin: [08.00-18.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNUlTrz8lW9H_puZ0ojBOH99HxerOWnRwF6NysT
Wash n Dry Laundromat Pagarsih,"Jl. Pagarsih No.67C, Cibadak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241",Cibadak,Binatu,Asia/Jakarta,"0813-1265-5278, +62 813-1265-5278",YES,39.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ-fR4sGnnaC4RrMi9UFQ6d2E&q=la,https://www.google.com/maps?cid=7023146277713856684,-6.922997,107.5950178,https://www.washndrylaundro.com/,washndrylaundro.com,"Sabtu: [07.00-20.00], Minggu: [08.00-18.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMvDtfujFskXUUNgsnHuFi6QjzjLPYjmDMUYgcC
Pusat Laundry Nasional,"Jl. Pasirkoja No.12, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 4024",Nyengseret,"Layanan Binatu, Pemasok peralatan binatu yang dioperasikan dengan koin, Pemasok ",Asia/Jakarta,"0853-2056-6660, +62 853-2056-6660",YES,99.0,4.7,https://search.google.com/local/reviews?placeid=ChIJwb8zokbnaC4RRHSQ3INM7OQ&q=la,https://www.google.com/maps?cid=16495643664376165444,-6.927031599999999,107.6030915,None,None,"Sabtu: [08.00-20.00], Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNaoGTZFgnoA4-5bDGHqRsszvVZp384J6H9Fn5f
Netto laundry,"Jl. Nyengseret No.11F, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Bar",Pelindung Hewan,Binatu,Asia/Jakarta,"0878-9948-7755, +62 878-9948-7755",YES,4.0,4.5,https://search.google.com/local/reviews?placeid=ChIJ3xLszCnpaC4RK-c5xXAnuIc&q=la,https://www.google.com/maps?cid=9779609956133758763,-6.9347435,107.6016312,https://www.instagram.com/netto.laundry.bdg/,instagram.com,"Sabtu: [07.00-19.00], Minggu: [07.00-19.00], Senin: [07.00-19.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNZtGVfSgTIVxEBQl54mOPu4rjEmPBxaQOWyLFm
Laundry Club Inhoftank,"Jalan H Jl. Kurdi Barat I No.1B, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung",Pelindung Hewan,Binatu,Asia/Jakarta,"0851-7324-7944, +62 851-7324-7944",YES,36.0,4.7,https://search.google.com/local/reviews?placeid=ChIJT-BHFy_paC4RjBehv0QSoo0&q=la,https://www.google.com/maps?cid=10205739792057046924,-6.943937399999999,107.6039141,https://bit.ly/customer_laundryclub_inhoftank,bit.ly,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipOY8smuCtlH6FakwIDiMOHz-BuANEi4DvafwbVs
Eighteen laundry (Inhoftank),"Jl. Inhoftank No.45b, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Bara",Pelindung Hewan,Binatu Cucian Kering,Asia/Jakarta,"0811-2181-811, +62 811-2181-811",YES,42.0,4.6,https://search.google.com/local/reviews?placeid=ChIJg2rIvq3paC4RZGJBXNe3dzo&q=la,https://www.google.com/maps?cid=4213038112022028900,-6.9424137,107.6033135,None,None,"Sabtu: [08.00-20.00], Minggu: [09.00-15.00], Senin: [08.00-20.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipMb8hd-8LItm1phCFtgQzXBvUzpXs6AJnZ2KW8Y
Joss Laundry Antapani Bandung,"Jl. Purwakarta No.200, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4",Antapani Kidul,Layanan Binatu,Asia/Jakarta,"0812-8079-3497, +62 812-8079-3497",YES,210.0,4.6,https://search.google.com/local/reviews?placeid=ChIJWcFWAXfnaC4R7c88NnBeCww&q=la,https://www.google.com/maps?cid=867891189238255597,-6.9175312,107.6603482,https://wa.me/6281280793497,wa.me,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPmHwi3M4SzziJWEi40t3SGvLH9hgz3_fjp1_kn
LaundryKlin Antapani  Laundry Antar Jemput,"Jl. Parakan Saat No.9d, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat",Central Antapani,"Layanan Binatu, Binatu",Asia/Jakarta,"0851-7318-3938, +62 851-7318-3938",YES,430.0,5.0,https://search.google.com/local/reviews?placeid=ChIJSU3QXXbpaC4RY1fnjgiui_o&q=la,https://www.google.com/maps?cid=18053714883025262435,-6.9275609,107.6669637,https://www.laundryklinwijaya.com/,laundryklinwijaya.com,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNl-BTv0EybayYOSDVRwIswUIkqzv54pVKbII1x
Sorcha Laundry Antapani,"Jl. Subang No.32, RT.04/RW.02, Antapani Tengah, Kec. Antapani, Kota Bandung, Jaw","RT.04/RW.02, Antapani Tengah",Layanan Binatu,Asia/Jakarta,"0851-7952-0363, +62 851-7952-0363",YES,135.0,4.8,https://search.google.com/local/reviews?placeid=ChIJTeg5Hs_naC4RMclvAixqjdU&q=la,https://www.google.com/maps?cid=15388072239046838577,-6.9144147,107.654897,https://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipOASh9jFROgh9a8Y-6cvT_PsvejXgtBkl5OVwXv
Chingu Laundry Antapani,"Jl. Purwakarta No.190, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4",Antapani Kidul,Layanan Binatu,Asia/Jakarta,"0811-8885-1121, +62 811-8885-1121",YES,197.0,4.9,https://search.google.com/local/reviews?placeid=ChIJpUx8USvnaC4RScspDSEhYLI&q=la,https://www.google.com/maps?cid=12853309762353875785,-6.917503,107.6593367,http://chingu-laundry.com/,chingu-laundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipORZgoTi7wfs045rYMSMO5_K4q1-RWVsdhFWOij
Nuna Laundry Antapani,"Jl. Purwakarta No.228, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4",Antapani Kidul,Binatu,Asia/Jakarta,"0818-0908-1330, +62 818-0908-1330",YES,34.0,4.9,https://search.google.com/local/reviews?placeid=ChIJvRfLmrrnaC4RM3NPwj-4lH8&q=la,https://www.google.com/maps?cid=9193175323352462131,-6.9172566,107.6615909,None,None,"Sabtu: [08.00-16.00], Minggu: [09.00-15.00], Senin: [08.00-19.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipNPk_KFCmr2lGttuiJydMJmJc_dhaK3RO9uS0Ru
dr.laundry Antapani - Antar Jemput,"Jl. Antapani Lama No.148, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat ",Cicaheum,Layanan Binatu,Asia/Jakarta,None,NO,84.0,5.0,https://search.google.com/local/reviews?placeid=ChIJE5ACtt_naC4RkaI1wlmdCbM&q=la,https://www.google.com/maps?cid=12901015616415441553,-6.903974799999999,107.6573344,http://drlaundry.id/,drlaundry.id,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNi6m2D36-MzENVtZ1s4p1VVvL_UD_560UlXRlH
Briwash Laundry Express - Antapani,"Jl. Sukanagara No.95, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40",Antapani Kidul,Binatu,Asia/Jakarta,"0851-7971-6134, +62 851-7971-6134",YES,48.0,4.9,https://search.google.com/local/reviews?placeid=ChIJz44NHwDnaC4RUdiywtSXPZk&q=la,https://www.google.com/maps?cid=11042148801437685841,-6.9220012,107.6616028,https://briwash.id/,briwash.id,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNdttRf1WQOAmcbW1TzqWUgZUfzEWuoPRWU3gmp
Sachi Laundry Bandung,"Jl. Cibatu Raya No.42B, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat",Antapani Tengah,Binatu,Asia/Jakarta,"0895-3445-02000, +62 895-3445-02000",YES,34.0,5.0,https://search.google.com/local/reviews?placeid=ChIJC6gglR7naC4RE97bxJUpRb0&q=la,https://www.google.com/maps?cid=13638352769791024659,-6.9164946,107.6644478,None,None,"Sabtu: [08.00-19.00], Minggu: [08.00-19.00], Senin: [08.00-19.00], Selasa: [08.0",https://lh5.googleusercontent.com/p/AF1QipOd_MJYM2XhX5M2AKRFu05bwKUKO8ORgTTHXYqu
"Art laundry, laundry hotel/partai","Jl. Randusari 6 No.28, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 4",Antapani Kidul,Binatu,Asia/Jakarta,"0813-2000-5181, +62 813-2000-5181",YES,13.0,5.0,https://search.google.com/local/reviews?placeid=ChIJUSFpHMLpaC4RUQbQK6atDR8&q=la,https://www.google.com/maps?cid=2237635519084234321,-6.9286585,107.6600004,http://www.instagram.com/laundry.art28,instagram.com,"Sabtu: [Buka 24 jam], Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka",https://lh5.googleusercontent.com/p/AF1QipP9Gc2rSg6KoT7TVbW3GdMr93I3l7ogrHCVUOjc
Masagi Laundry,"Jl. Terusan Jakarta No.334, Sukamiskin, Kec. Antapani, Kota Bandung, Jawa Barat ",Sukamiskin,Binatu,Asia/Jakarta,"0821-2054-1635, +62 821-2054-1635",YES,10.0,4.9,https://search.google.com/local/reviews?placeid=ChIJK8WgEB3naC4RmhtDaUg2Z0U&q=la,https://www.google.com/maps?cid=5001025595849776026,-6.916793299999999,107.6685336,http://www.masagilaundry.com/,masagilaundry.com,"Sabtu: [07.30-17.30], Minggu: [Tutup], Senin: [07.30-17.30], Selasa: [07.30-17.3",https://lh5.googleusercontent.com/p/AF1QipNWzwe91xYou8DEXf4MQGu9Oc8RZm2DLHXsKeiJ
Sorcha Laundry Arcamanik (Laundry Antar Jemput Bandung),"Ruko Radenia, Jl. Cisaranten Kulon No.3, RT.04/RW.05, Cisaranten Kulon, Kec. Arc",Jl. Cisaranten Kulon No.3,Binatu,Asia/Jakarta,"0811-1111-2731, +62 811-1111-2731",YES,244.0,4.8,https://search.google.com/local/reviews?placeid=ChIJJbblApfdaC4RUjkExvMbshs&q=la,https://www.google.com/maps?cid=1995688318691719506,-6.9252015,107.6844898,http://sorchalaundry.com/,sorchalaundry.com,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipMf3zp3Q6t_yxSAZEMHObkvTPpQEHNiak7HXuwz
Neng Laundry Express Arcamanik Bandung - Laundry Terbaik (Express & Cuci Satuan),"Jl. Arcamanik Endah No.87 Blok C, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa",Sukamiskin,Binatu,Asia/Jakarta,"0813-1250-4752, +62 813-1250-4752",YES,34.0,4.5,https://search.google.com/local/reviews?placeid=ChIJ3zGZStrdaC4RPZlVP8Vk9u0&q=la,https://www.google.com/maps?cid=17147003429593651517,-6.918708199999999,107.6747243,https://nenglaundry.com/,nenglaundry.com,"Sabtu: [06.00-21.00], Minggu: [06.00-21.00], Senin: [06.00-21.00], Selasa: [06.0",https://lh5.googleusercontent.com/p/AF1QipPlVVUNbALinG-cn_emuZd-BFDfCILRt67zlFk=
Brother Laundry Bandung,"Jl. Cisaranten Kulon No.32, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa",Cisaranten Kulon,Layanan Binatu,Asia/Jakarta,"0821-1654-0060, +62 821-1654-0060",YES,16.0,5.0,https://search.google.com/local/reviews?placeid=ChIJPdW7dzbdaC4R21TFVmazVAU&q=la,https://www.google.com/maps?cid=384129120357143771,-6.9169642,107.6845658,None,None,"Sabtu: [07.30-20.30], Minggu: [07.30-20.30], Senin: [07.00-20.30], Selasa: [07.3",https://lh5.googleusercontent.com/p/AF1QipPXJLkRsoS_8GYKgwDbsYaUU0-E0o_YsXwSLSwB
Sasa Laundry Arcamanik,"Jl. Golf Barat Raya No.20, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat ",Sukamiskin,Binatu,Asia/Jakarta,"0822-1763-3668, +62 822-1763-3668",YES,50.0,4.2,https://search.google.com/local/reviews?placeid=ChIJIU0kZOrdaC4RBt3z7mfX4PA&q=la,https://www.google.com/maps?cid=17357109805276454150,-6.917999999999999,107.6729019,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipNHkVOfmMkBAhBPHxDAvBYvEvN-bXdMVK1i4okf
Moza Laundry & Vacuum Bandung,"Jl. Purbasari Raya No.3, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Ba",Cisaranten Kulon,Binatu,Asia/Jakarta,"0812-2411-1202, +62 812-2411-1202",YES,881.0,4.1,https://search.google.com/local/reviews?placeid=ChIJxXF0yU_daC4RUzoPOgl_65Q&q=la,https://www.google.com/maps?cid=10730810214745848403,-6.9153196,107.6790073,None,None,"Sabtu: [07.00-21.00], Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipPH_BsXJwSMG5C0vbHX8uW1-gfOiAD-ndo6woBG
Gwash Laundry Express Cingised,"Jl. Cingised, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293",Cisaranten Endah,Binatu,Asia/Jakarta,"0811-2346-164, +62 811-2346-164",YES,22.0,5.0,https://search.google.com/local/reviews?placeid=ChIJT1iypsfDaC4RgnLk562gXgY&q=la,https://www.google.com/maps?cid=458980880818664066,-6.9276909,107.6713838,None,None,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipN5jw500fiwLnFZK5xS5fLb5bHSLQ3Y5qXGnlr7
Matahari Laundry & Dry Clean,"Jl. Pacuan Kuda I No.75, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40",Sukamiskin,Layanan Binatu,Asia/Jakarta,None,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJIYaEI1zdaC4Rc4iDDWNc9lc&q=la,https://www.google.com/maps?cid=6338355106068793459,-6.9086708,107.6753595,None,None,None,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yxZqq_5KraZ7hqcAr
DIATAMA LAUNDRY,"Jl. Cisaranten Kulon No.88, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa",Cisaranten Kulon,Binatu,Asia/Jakarta,"0858-5194-0007, +62 858-5194-0007",YES,11.0,5.0,https://search.google.com/local/reviews?placeid=ChIJibjAGsTDaC4R-U9A158HduI&q=la,https://www.google.com/maps?cid=16318238682916081657,-6.9285665,107.6819534,None,None,"Sabtu: [08.00-17.00], Minggu: [Tutup], Senin: [08.00-17.00], Selasa: [08.00-17.0",https://lh5.googleusercontent.com/p/AF1QipMFq9MF6uV4u5W47M0x-7l1JcqaZFn5fq1Gq6JZ
Rifa Laundry,"3M7H+WF8, Jl. Cisaranten Kulon, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, ",Jl. Cisaranten Kulon,Binatu,Asia/Jakarta,"(022) 7565743, +62 22 7565743",NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJObg7jq_CaC4Rn57OLPzUA_k&q=la,https://www.google.com/maps?cid=17943419519922773663,-6.9352193,107.6787015,None,None,None,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFlRKg6s88BzCeU3ybkzmX9ycvtU_XW
Raja Gosok,"Jl. Purbalarang No.91, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 4029",Sukamiskin,Layanan Binatu,Asia/Jakarta,"0812-2006-6268, +62 812-2006-6268",YES,33.0,4.6,https://search.google.com/local/reviews?placeid=ChIJEQBKtlrdaC4RFsSiQqLTnRE&q=la,https://www.google.com/maps?cid=1269403363844473878,-6.9134284,107.6801453,None,None,"Sabtu: [07.30-20.00], Minggu: [07.30-20.00], Senin: [07.30-20.00], Selasa: [07.3",https://lh5.googleusercontent.com/p/AF1QipM-i0pemmL-Y3n1lxzjVyl2yE-T6PN1Pn0qLn55
Wash n Dry Laundromat,"Jl. Caringin No.134A, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa ",Babakan Ciparay,Layanan Binatu,Asia/Jakarta,"0812-2321-2908, +62 812-2321-2908",YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJF4nlA9zpaC4RxzgyTywH-1M&q=la,https://www.google.com/maps?cid=6051438411191040199,-6.9447172,107.5816522,https://www.washndrylaundro.com/,washndrylaundro.com,"Sabtu: [07.00-20.00], Minggu: [08.00-18.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipOOYOL9VbCtKxv0T1rv8izrOmldy1Q8_KKzqme6
Day By Day Laundry,"Jl. Babakan Ciparay No.215, Babakan Ciparay, Kec. Bojongloa Kaler, Kota Bandung,",Babakan Ciparay,Binatu Cucian Kering,Asia/Jakarta,"0812-2352-0074, +62 812-2352-0074",NO,7.0,4.6,https://search.google.com/local/reviews?placeid=ChIJyW31NK7oaC4RbQ-gL0cyJYE&q=la,https://www.google.com/maps?cid=9305899486354083693,-6.9384957,107.5829117,None,None,"Sabtu: [07.00-20.00], Minggu: [07.00-20.00], Senin: [07.00-20.00], Selasa: [07.0",https://lh5.googleusercontent.com/p/AF1QipOM2waybGBeowVFvPmovtTK9E4oaJxp5oaZ_PRY
