Name,Fulladdress,Categories,Time Zone,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Place Id,phone,Municipality,Phones
Noda Laundry Medan (Wet Cleaning & Dry Cleaning),"Jl. Padang Golf No.10, Suka Damai, Kec. Medan Polonia, Kota Medan, Sumatera Utar","Binatu, Binatu Cucian Kering, Layanan Binatu",Asia/Jakarta,YES,212.0,4.8,https://search.google.com/local/reviews?placeid=ChIJZab2DYsxMTARRik1nh-KByg&q=la,https://www.google.com/maps?cid=2884425954756995398,3.5566108,98.6812547,0,0,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOpuqhaH2hjsiHZrLMnt5oHw6rspTLWKLDUEQxH,ChIJZab2DYsxMTARRik1nh-KByg,+62 857-6076-2519,,
Laundry Medan,"Jl. Pinang Baris Gg. Langgar No.26, Sunggal, Kec. Medan Sunggal, Kota Medan, Sum","Binatu Cucian Kering, Layanan Binatu",Asia/Jakarta,YES,13.0,5.0,https://search.google.com/local/reviews?placeid=ChIJHRs8VfouMTARjb2D46PS_Tw&q=la,https://www.google.com/maps?cid=4394900412722036109,3.5759362,98.6100717,0,0,"Minggu: [Buka 24 jam], Senin: [Buka 24 jam], Selasa: [Buka 24 jam], Rabu: [Buka ",https://lh5.googleusercontent.com/p/AF1QipMTm1OXBG-3Q6vxVzD-IfEUp-V5BfHeHJ4Npgkw,ChIJHRs8VfouMTARjb2D46PS_Tw,+62 853-6230-0075,,
Laundry Medan,"Jl. Brig Jend. Zein Hamid No.28, Kedai Durian, Kec. Medan Johor, Kota Medan, Sum",Binatu Cucian Kering,Asia/Jakarta,NO,64.0,5.0,https://search.google.com/local/reviews?placeid=ChIJr7PnYgExMTARsxponWu--jc&q=la,https://www.google.com/maps?cid=4033745785675324083,3.5195951,98.6808342,0,0,"Minggu: [06.00-22.00], Senin: [06.00-22.00], Selasa: [06.00-22.00], Rabu: [06.00",https://lh5.googleusercontent.com/p/AF1QipPqc0orUIBETCgA8JtT6fVm1QmBYKp8wpTLlEB1,ChIJr7PnYgExMTARsxponWu--jc,+62 853-6230-0075,,
"Laundry AMANAH VIP 1 jam an siap, free antar jemput, Medan","Jl. Durung No.171, Sidorejo Hilir, Kec. Medan Tembung, Kota Medan, Sumatera Utar",Layanan Binatu,Asia/Jakarta,YES,82.0,4.8,https://search.google.com/local/reviews?placeid=ChIJ7Xl0elsxMTAR4zSa283mYd4&q=la,https://www.google.com/maps?cid=16024342720987935971,3.6093949,98.7032771,0,0,"Minggu: [09.00-22.00], Senin: [09.00-20.00], Selasa: [09.00-17.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipOumFa_fdHJ7kVcVjoW8HQnfyduX6odrZlYijXS,ChIJ7Xl0elsxMTAR4zSa283mYd4,+62 812-8759-854,,
Laundry Express Medan - Barakah Laundry,"Jl. Karya No.36D, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20117",Binatu Cucian Kering,Asia/Jakarta,YES,56.0,4.9,https://search.google.com/local/reviews?placeid=ChIJ5zqBrkcxMTAR511QzL1lRPA&q=la,https://www.google.com/maps?cid=17313074733370072551,3.6035417,98.6651939,0,0,"Minggu: [07.00-20.30], Senin: [07.00-20.30], Selasa: [07.00-20.30], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMUpZeSMZE_xbK8Z_r7SdX4kz1LjTtO2lPuzjq7,ChIJ5zqBrkcxMTAR511QzL1lRPA,+62 812-6950-9929,,
Noda Laundry Medan (Wet Cleaning & Dry Cleaning),"Jl. Gandhi No.218B, Sei Rengas II, Kec. Medan Area, Kota Medan, Sumatera Utara 2","Binatu Cucian Kering, Layanan Binatu",Asia/Jakarta,YES,21.0,4.8,https://search.google.com/local/reviews?placeid=ChIJv83ZiTYxMTARtFGt0m6NMoE&q=la,https://www.google.com/maps?cid=9309658886848729524,3.5852254,98.6997607,0,0,"Minggu: [09.00-20.00], Senin: [09.00-20.00], Selasa: [09.00-20.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipMfYGDJfjGmPLLEfooTwhj1eFFLB3MKvA7D7-sc,ChIJv83ZiTYxMTARtFGt0m6NMoE,+62 811-6143-977,,
Noda Laundry Medan (Wet Cleaning & Dry Cleaning),"Ruko Halat Center No A-2, Jl. Halat, Ps. Merah Bar., Kec. Medan Kota, Kota Medan","Binatu, Grosir bahan kimia, Pemasok peralatan binatu yang dioperasikan dengan ko",Asia/Jakarta,YES,38.0,4.6,https://search.google.com/local/reviews?placeid=ChIJR1XFo08wMTARfYXuJaPwOTA&q=la,https://www.google.com/maps?cid=3475073170999772541,3.5722704,98.6907117,0,0,"Minggu: [Tutup], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00-19.00",https://lh5.googleusercontent.com/p/AF1QipNNfojgmetwNOg14qYt0iVfYBGyUR5Rnze0uQO8,ChIJR1XFo08wMTARfYXuJaPwOTA,+62 822-2720-0082,,
laundry (C63 Laundry medan),"pajak pagi, Jl. Cahaya No.63, Durian, Kec. Medan Tim., Kota Medan, Sumatera Utar",Binatu,Asia/Jakarta,YES,27.0,4.9,https://search.google.com/local/reviews?placeid=ChIJl4AD5OwxMTARC7JdXCSj_mA&q=la,https://www.google.com/maps?cid=6989203048289382923,3.6076877,98.6802986,0,0,"Minggu: [Tutup], Senin: [07.00-18.00], Selasa: [07.00-18.00], Rabu: [07.00-18.00",https://lh5.googleusercontent.com/p/AF1QipOQxNgO7qoTcWSbgmO-uBEvnxUrhpd0-__oXxU7,ChIJl4AD5OwxMTARC7JdXCSj_mA,+62 813-7661-0143,,
Megoria Laundry & Dry Cleaning,"Jl. KH. Zainul Arifin No.140, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Su",Layanan Binatu,Asia/Jakarta,NO,21.0,4.6,https://search.google.com/local/reviews?placeid=ChIJ4YcMbNIxMTAR1SJ4pFWuNJk&q=la,https://www.google.com/maps?cid=11039640269446718165,3.5839562,98.6700898,0,0,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEf7mYD7zRjbdGXyBZdydnCy_jcGGlf,ChIJ4YcMbNIxMTAR1SJ4pFWuNJk,+62 61 4511917,,
Cahaya Laundry Medan,"Jl. Suka Baru No.21, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, S",Binatu,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJf3yCqRsvMTARgy_ovRuJZ54&q=la,https://www.google.com/maps?cid=11414242532837044099,3.5683569,98.6501333,0,0,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WCgAIFvYT1HPWqLs7,ChIJf3yCqRsvMTARgy_ovRuJZ54,,,
Laundry Medan ( Brilliant Laundry),"JM6C+6PH, Jl. Sekata, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 2023",Binatu Cucian Kering,Asia/Jakarta,NO,6.0,4.7,https://search.google.com/local/reviews?placeid=ChIJCQCn4u8xMTARoWOMPbqxaSM&q=la,https://www.google.com/maps?cid=2551766077336740769,3.6105543,98.6718636,0,0,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEezTHFv_bX0Ti_h_Yc782mlRCXUwCo,ChIJCQCn4u8xMTARoWOMPbqxaSM,+62 853-6230-0075,,
Saniah Laundry,"Jl. S. Parman No.53, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Ut",Layanan Binatu,Asia/Jakarta,YES,59.0,4.6,https://search.google.com/local/reviews?placeid=ChIJYckhnd8xMTAR5zTmjRgDIn0&q=la,https://www.google.com/maps?cid=9016772807943927015,3.5906851,98.6702092,0,0,"Minggu: [09.00-19.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipOAVgqvFv7NsIpWwnAkMsDx17TEnQVpy193T6IM,ChIJYckhnd8xMTAR5zTmjRgDIn0,+62 819-0608-6668,,
Rinse n Shine Coin Laundry,"Jl. Karya Rakyat Kel No.71, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utar",Binatu,Asia/Jakarta,YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJm37FosgvMTARMw_FmmPTY0o&q=la,https://www.google.com/maps?cid=5360360406252850995,3.6065105,98.6577925,0,0,"Minggu: [07.00-21.00], Senin: [07.00-21.00], Selasa: [07.00-21.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipOrdvc6pwpHs8xwtWyyFzkdOTYStrQFTBdkddXf,ChIJm37FosgvMTARMw_FmmPTY0o,+62 819-2009-190,,
laundry medan,"JMC9+XQW, Jl. KL. Yos Sudarso Jl. Lingkungan I, Pulo Brayan Kota, Kec. Medan Bar",Binatu Cucian Kering,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJScSoP2ozMTARPKE7H2kz_yI&q=la,https://www.google.com/maps?cid=2521790842939351356,3.6224817,98.6694551,0,0,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aoUYAlg8gEf56mdK3,ChIJScSoP2ozMTARPKE7H2kz_yI,+62 812-6686-0094,,
Chuchi One Stop Laundry,"Jl. K.H. Wahid Hasyim No.126 Simpang Barat, Sei Sikambing D, Kec. Medan Petisah,",Binatu,Asia/Jakarta,YES,10.0,4.9,https://search.google.com/local/reviews?placeid=ChIJb2c7TyguMTARjnyMhAg21vQ&q=la,https://www.google.com/maps?cid=17642348000481934478,3.5886666,98.6582679,0,0,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipN8opiOUsJHJ0kmMQU8Ecna5kSaIn6mV-I9gXKb,ChIJb2c7TyguMTARjnyMhAg21vQ,+62 823-6905-7444,,
Premium Laundry,"Jl. Karya No.201, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara 2",Binatu Cucian Kering,Asia/Jakarta,YES,21.0,4.4,https://search.google.com/local/reviews?placeid=ChIJw0CcXJcxMTARtxnCfXABqmc&q=la,https://www.google.com/maps?cid=7469784514605226423,3.6174075,98.6656797,0,0,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipMOe78UibhRqjyqY07LrXEORP7RY0t8Jszm29TU,ChIJw0CcXJcxMTARtxnCfXABqmc,+62 822-7565-7705,,
Laundry House,"Jl. Jemadi No.17, Pulo Brayan Kota, Kec. Medan Bar., Medan Timur, Sumatera Utara",Binatu Cucian Kering,Asia/Jakarta,YES,42.0,4.9,https://search.google.com/local/reviews?placeid=ChIJfWJEURsyMTAREnUS02VbfS0&q=la,https://www.google.com/maps?cid=3277876596686615826,3.6259001,98.6715673,0,0,"Minggu: [Tutup], Senin: [08.00-18.00], Selasa: [08.00-18.00], Rabu: [08.00-18.00",https://lh3.googleusercontent.com/gps-proxy/ALd4DhEiZJ5Om38mQFIiBCJTHIb2gnXWnZBi,ChIJfWJEURsyMTAREnUS02VbfS0,+62 811-637-449,,
Easy Laundry,"Jl. Karya No.146 B, Karang Berombak, Kec. Medan Bar., Kota Medan, Sumatera Utara",Binatu,Asia/Jakarta,YES,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJzWAIteAxMTARdsW-zEdvd40&q=la,https://www.google.com/maps?cid=10193738635744822646,3.6117954,98.6656527,0,0,,https://lh5.googleusercontent.com/p/AF1QipNRq5TvbLNYVvUmftpWL2OXqySbRYbsyI0LBQmx,ChIJzWAIteAxMTARdsW-zEdvd40,,,
G2 Laundry,"Jl. Ps. Baru No.55, Titi Rantai, Kec. Medan Baru, Kota Medan, Sumatera Utara 201",Binatu,Asia/Jakarta,YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJZweMU7cvMTARAV7oJ8779-Q&q=la,https://www.google.com/maps?cid=16498932622746476033,3.5518227,98.6540856,0,0,"Minggu: [10.00-21.00], Senin: [08.00-21.00], Selasa: [08.00-21.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPsas9_xqLwFRpZAFhTEpBxppzDwxc1iq-I-9tw,ChIJZweMU7cvMTARAV7oJ8779-Q,+62 812-6060-0101,,
Laundry Syari Medan,"Jl. Darussalam No.101, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 20153",Binatu,Asia/Jakarta,YES,10.0,5.0,https://search.google.com/local/reviews?placeid=ChIJsxgYOdMvMTARkAc_yw3kjKE&q=la,https://www.google.com/maps?cid=11640929884741502864,3.5797099,98.6532295,0,0,"Minggu: [Tutup], Senin: [08.00-17.30], Selasa: [08.00-17.30], Rabu: [08.00-17.30",https://lh5.googleusercontent.com/p/AF1QipNzdQweo9GvqmU_flEKjFMdiS2HYyiCz1kS4a5i,ChIJsxgYOdMvMTARkAc_yw3kjKE,+62 813-6273-8258,,
Everest Laundry & Dry Clean,"Jl. Sei Bahbolon No.50, Babura, Kec. Medan Baru, Kota Medan, Sumatera Utara 2015","Layanan Binatu, Binatu Cucian Kering",Asia/Jakarta,YES,28.0,4.5,https://search.google.com/local/reviews?placeid=ChIJ4eoiOdIxMTAR-_kWX4bAjxc&q=la,https://www.google.com/maps?cid=1697787267895458299,3.5821086,98.6547673,0,0,"Minggu: [Tutup], Senin: [07.30-19.00], Selasa: [07.30-19.00], Rabu: [07.30-19.00",https://lh5.googleusercontent.com/p/AF1QipNaNk-ooBOQnwY9SH2Wz3IORMHAGR3PJTQU0cav,ChIJ4eoiOdIxMTAR-_kWX4bAjxc,+62 811-610-759,,
Parfait Laundry,"Jalan Pembangunan USU No.91, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera",Layanan Binatu,Asia/Jakarta,YES,34.0,4.9,https://search.google.com/local/reviews?placeid=ChIJl3N8eL8vMTAR63TEsngtg4Q&q=la,https://www.google.com/maps?cid=9548525631374128363,3.5632353,98.652256,0,0,"Minggu: [10.00-21.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipNA2OGNKRJAjEgVzYn4R1uTcr8Q9oFJkv0dN6In,ChIJl3N8eL8vMTAR63TEsngtg4Q,+62 821-4577-2131,,
Happy Wash Laundry,"Jl. Brigjend Katamso No.626, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera U",Binatu,Asia/Jakarta,NO,3.0,4.0,https://search.google.com/local/reviews?placeid=ChIJ4RFYUEAxMTARYzBTljC-5zE&q=la,https://www.google.com/maps?cid=3596051943368372323,3.5530192,98.6883079,0,0,"Minggu: [07.00-22.00], Senin: [07.00-22.00], Selasa: [07.00-22.00], Rabu: [07.00",https://lh5.googleusercontent.com/p/AF1QipPhHJ5Ntu_WIb4XEAHlILFZ7u5SN_261uZD5TwM,ChIJ4RFYUEAxMTARYzBTljC-5zE,,,
Bens Laundry,"Jl. Jamin Ginting No.638b, Padang Bulan, Kec. Medan Baru, Kota Medan, Sumatera U",Binatu,Asia/Jakarta,YES,20.0,4.8,https://search.google.com/local/reviews?placeid=ChIJpRFRR38vMTARCh5p8LqT63o&q=la,https://www.google.com/maps?cid=8857335523260833290,3.5512404,98.6597863,0,0,"Minggu: [07.30-21.30], Senin: [07.30-21.30], Selasa: [07.30-21.30], Rabu: [07.30",https://lh5.googleusercontent.com/p/AF1QipPTzKyc0m_mXQJHPC7IBiZDFcURye7r5zN9f5D8,ChIJpRFRR38vMTARCh5p8LqT63o,+62 858-0538-7463,,
Happy wash laundry,"Jl. Cilacap Timur No.15, Belawan II, Medan Kota Belawan, Kota Medan, Sumatera Ut",Layanan Binatu,Asia/Jakarta,YES,2.0,5.0,https://search.google.com/local/reviews?placeid=ChIJ5d5qqEDNNjARfSl9oU6uhug&q=la,https://www.google.com/maps?cid=16755271116418525565,3.7796178,98.685352,0,0,"Minggu: [07.30-22.00], Senin: [07.30-22.00], Selasa: [07.30-22.00], Rabu: [07.30",https://lh5.googleusercontent.com/p/AF1QipP-nwoYgcfFEVCu_kB77-atAIhefd-L0YsM1kYQ,ChIJ5d5qqEDNNjARfSl9oU6uhug,+62 822-6708-0099,,
MARI LAUNDRY,"QMCJ+GMM, Jl. St., Belawan II, Medan Kota Belawan, Kota Medan, Sumatera Utara 20",Layanan Binatu,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJy3Ocv6rNNjARpqC1tXu0DPs&q=la,https://www.google.com/maps?cid=18090032246662996134,3.7713982,98.6816467,0,0,"Minggu: [09.00-21.00], Senin: [09.00-21.00], Selasa: [09.00-21.00], Rabu: [09.00",https://lh5.googleusercontent.com/p/AF1QipP5b90SX--kO7XZL_UCagd5XlxGDZZnrMrEye4B,ChIJy3Ocv6rNNjARpqC1tXu0DPs,+62 822-9702-8832,,
Laundry Muslim,"Jl. Langkat No.3, Belawan I, Medan Kota Belawan, Kota Medan, Sumatera Utara 2041",Layanan Binatu,Asia/Jakarta,NO,2.0,4.0,https://search.google.com/local/reviews?placeid=ChIJ82LJD3TONjARP1HlyG65fs4&q=la,https://www.google.com/maps?cid=14879534104346710335,3.7844721,98.6865792,0,0,"Minggu: [Tutup], Senin: [Tutup], Selasa: [Buka 24 jam], Rabu: [Tutup], Kamis: [B",https://lh3.googleusercontent.com/gps-proxy/ALd4DhHsGTEtlggikn-C6j5v7sNnMW7eX6hB,ChIJ82LJD3TONjARP1HlyG65fs4,+62 812-6098-1045,,
Central Laundry,"Jl. Selebes No.314, Belawan II, Medan Kota Belawan, Kota Medan, Sumatera Utara 2",Toko,Asia/Jakarta,NO,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJkUVtbwDNNjAR8457lRZGLd0&q=la,https://www.google.com/maps?cid=15937471719145180915,3.7750964,98.6839576,0,0,,https://lh5.googleusercontent.com/p/AF1QipN5Owm735Tr1rMhMu-dnDdjmkphbiHQxwk2Lj2J,ChIJkUVtbwDNNjAR8457lRZGLd0,,,
Bamb's Laundry,"Jl. Selebes No.213, Belawan II, Medan Kota Belawan, Kota Medan, Sumatera Utara 2","Pemasok peralatan binatu yang dioperasikan dengan koin, Layanan Binatu",Asia/Jakarta,YES,0.0,0.0,,https://www.google.com/maps?cid=10370194359049638141,3.7767958,98.6845753,0,0,"Minggu: [07.30-21.00], Senin: [07.30-21.00], Selasa: [07.30-21.00], Rabu: [07.30",https://lh5.googleusercontent.com/p/AF1QipNQJDkx2aBUaGfTZJ5ic4tr-qXvnv8r1chcbopr,ChIJ7SHriKDNNjAR_dDpbtNU6o8,+62 813-6169-4869,,
Laundry Box,"Jl. Bambu, Durian, Kec. Medan Tim., Kota Medan, Sumatera Utara",Layanan Binatu,Asia/Jakarta,YES,166.0,4.9,https://search.google.com/local/reviews?placeid=ChIJTXT6rB4xMTARyaZJL9_i0YA&q=la,https://www.google.com/maps?cid=9282449755186243273,3.604784,98.6801335,0,0,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",https://lh5.googleusercontent.com/p/AF1QipPM0sAp14nvq71qnaVLzVr9GvXlh85QBX-EocXK,ChIJTXT6rB4xMTARyaZJL9_i0YA,+62 812-6334-1114,,
Verona Laundry,"Jl. Bambu II No.70, Durian, Kec. Medan Tim., Kota Medan, Sumatera Utara 20235",Binatu,Asia/Jakarta,YES,53.0,4.5,https://search.google.com/local/reviews?placeid=ChIJ_dyhMOwxMTAR-NC2gQsQN8M&q=la,https://www.google.com/maps?cid=14066729602721960184,3.6073604,98.6775648,0,0,"Minggu: [Tutup], Senin: [07.00-18.00], Selasa: [07.00-18.00], Rabu: [07.00-18.00",https://lh5.googleusercontent.com/p/AF1QipO4las4DH_K6t5d1omzkZsCqF4FfjKHqTsHzqgS,ChIJ_dyhMOwxMTAR-NC2gQsQN8M,+62 61 6636676,,
Aurora Laundry Express,,"Binatu, Service establishment, Layanan Binatu",Asia/Jakarta,YES,1.0,5.0,https://search.google.com/local/reviews?placeid=ChIJhQchVo8zMTARTb3D3qO2d6M&q=la,https://www.google.com/maps?cid=11779084165344116045,-2.44565,117.8888,0,0,"Minggu: [08.00-20.00], Senin: [08.00-20.00], Selasa: [08.00-20.00], Rabu: [08.00",,ChIJhQchVo8zMTARTb3D3qO2d6M,+62 821-6365-0188,,
Laundry Medan ( Brilliant Laundry),"JMRC+Q2W, Jl. Alumunium II, Tj. Mulia, Kec. Medan Deli, Kota Medan, Sumatera Uta",Binatu Cucian Kering,Asia/Jakarta,NO,2.0,3.5,https://search.google.com/local/reviews?placeid=ChIJiVtslnIyMTARInV39e9uUTo&q=la,https://www.google.com/maps?cid=4202261904207869218,3.6419831,98.6700865,0,0,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CkUdx2uzxaF3TEdbd,ChIJiVtslnIyMTARInV39e9uUTo,+62 853-6230-0075,,
